OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
2033698,,,,,,,,,,,,,,,,,
2092805,LOP240614001054,275 W MACARTHUR BLVD,W MACARTHUR BLVD,911C,911 HANG UP FROM CP,1718391917000,"[-122.25802, 37.8241422]",6053931,2127318,C,09X,CCD3,06/14/24  7:05:17 PM,1718391918000,9,2,1
2092806,LOP240614001059,372 12TH ST,12TH ST,911N,POLICE RELATED MATTE,1718392024000,"[-122.2701726, 37.8022771]",6050271,2119424,C,03X,CCD2,06/14/24  7:07:04 PM,1718392024000,3,1,1
2092807,LOP240614001058,COLE ST&FOOTHILL BLVD,ST&FOOTHILL BLVD,976,CAR STOP,1718392021000,"[-122.1985789, 37.7726237]",6070756,2108245,C,27X,CCD4,06/14/24  7:07:01 PM,1718393059000,27,4,3
2092808,LOP240614001060,801 MOORPARK AV,MOORPARK AV,R10851,RECOVERED STOLEN VEH,1718392119000,"[-122.1738389, 37.7321658]",6077642,2093387,C,31Z,CCD7,06/14/24  7:08:39 PM,1718395599000,31,5,3
2092809,LOP240614001061,1198 OCEAN AV,OCEAN AV,945A,AMBULANCE REQUESTED,1718392202000,"[-122.2868709, 37.8467984]",6045757,2135724,C,10X,CCD1,06/14/24  7:10:02 PM,1718392203000,10,2,1
2092810,LOP240614001062,35TH AV&INTERNATIONAL BLVD,AV&INTERNATIONAL BLVD,BTNFO,BEAT INFORMATION,1718392315000,"[-122.2227097, 37.7761108]",6063806,2109642,C,23X,CCD5,06/14/24  7:11:55 PM,1718400482000,23,4,2
2092811,LOP240614001063,4500 GILBERT ST,GILBERT ST,945A,AMBULANCE REQUESTED,1718392356000,"[-122.2509256, 37.8329907]",6056040,2130501,C,09X,CCD1,06/14/24  7:12:36 PM,1718392357000,9,2,1
2092812,LOP240614001064,250 WHITMORE ST,WHITMORE ST,415GF,GIRLFRIEND CREATING,1718392453000,"[-122.2518844, 37.8332622]",6055765,2130605,C,09X,CCD1,06/14/24  7:14:13 PM,1718399427000,9,2,1
2092813,LOP240614001066,8400 EDES AVE,EDES AVE,415F,415 FAMILY,1718392718000,"[-122.1948228, 37.742073]",6071640,2097103,C,31Y,CCD7,06/14/24  7:18:38 PM,1718433503000,31,5,3
2092814,LOP240614001069,4039 FULLINGTON ST,FULLINGTON ST,945A,AMBULANCE REQUESTED,1718392815000,"[-122.200057, 37.7882179]",6070432,2113930,C,24Y,CCD4,06/14/24  7:20:15 PM,1718392893000,24,4,2
