OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
2033698,,,,,,,,,,,,,,,,,
2093104,,,,,,,,,,,,,,,,,
2121255,LOP240707000927,FRAZIER AV&STANLEY AV,AV&STANLEY AV,SECCK,SECURITY CHECK,1720379043000,"[-122.1504927, 37.7467455]",6084486,2098575,C,32Y,CCD7,07/07/24  7:04:03 PM,1720388165000,32,5,3
2121257,LOP240707000928,EB I580&SB S13,I580&SB S13,HAZ,HAZARDOUS SITUATION/,1720379205000,"[-122.1781769, 37.7835212]",6076723,2112106,C,28X,CCD6,07/07/24  7:06:45 PM,1720379206000,28,4,3
2121258,LOP240707000929,73RD AV&INTERNATIONAL BLVD,AV&INTERNATIONAL BLVD,901,VEHICLE COLLISION/PR,1720379239000,"[-122.1870445, 37.759179]",6074001,2103290,C,26Y,CCD7,07/07/24  7:07:19 PM,1720380715000,26,4,3
2121259,LOP240707000930,625 W MACARTHUR BLVD,W MACARTHUR BLVD,929,FIRE,1720379310000,"[-122.2686616, 37.8270568]",6050878,2128437,C,06X,CCD1,07/07/24  7:08:30 PM,1720379323000,6,1,1
2121260,LOP240707000931,2011 E 12TH ST,E 12TH ST,911C,911 HANG UP FROM CP,1720379490000,"[-122.2408104, 37.7847501]",6058634,2112884,C,19X,CCD5,07/07/24  7:11:30 PM,1720394144000,19,3,2
2121261,LOP240707000932,3501 SAN PABLO AV,SAN PABLO AV,MSDIAL,MISDIAL,1720379588000,"[-122.2782688, 37.8257917]",6048095,2128029,C,07X,CCD3,07/07/24  7:13:08 PM,1720379588000,7,1,1
2121262,LOP240707000933,E 12TH ST&35TH AV,12TH ST&35TH AV,945,AMBULANCE FOLLOW UP,1720379704000,"[-122.2231431, 37.7755496]",6063677,2109440,C,23X,CCD5,07/07/24  7:15:04 PM,1720383225000,23,4,2
2121263,LOP240707000934,2361 E 29TH ST,E 29TH ST,945A,AMBULANCE REQUESTED,1720379727000,"[-122.225564, 37.7952939]",6063110,2116641,C,21X,CCD5,07/07/24  7:15:27 PM,1720379727000,21,3,2
2121264,LOP240707000935,1101 29TH AV,29TH AV,933R,ALARM-RINGER,1720379756000,"[-122.2308486, 37.7774282]",6061463,2110165,C,20X,CCD5,07/07/24  7:15:56 PM,1720380002000,20,3,2
2121265,LOP240707000936,10TH ST&UNION ST,ST&UNION ST,913TH,SUICIDE THREATS,1720379792000,"[-122.2893781, 37.8071239]",6044757,2121294,C,02X,CCD3,07/07/24  7:16:32 PM,1720395431000,2,1,1
