OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
2033698,,,,,,,,,,,,,,,,,
2093104,,,,,,,,,,,,,,,,,
2118985,LOP240705001152,1937 36TH AV,36TH AV,945A,AMBULANCE REQUESTED,1720206294000,"[-122.2181974, 37.7812116]",6065144,2111475,C,24X,CCD5,07/05/24  7:04:54 PM,1720206294000,24,4,2
2118986,LOP240705001153,1843 11TH AV,11TH AV,945A,AMBULANCE REQUESTED,1720206327000,"[-122.2448417, 37.7942934]",6057534,2116380,C,17X,CCD2,07/05/24  7:05:27 PM,1720206327000,17,3,2
2118987,LOP240705001154,72ND AV&INTERNATIONAL BLVD,AV&INTERNATIONAL BLVD,20001,HIT & RUN RESULTING,1720206335000,"[-122.1882163, 37.7597391]",6073666,2103500,C,26Y,CCD7,07/05/24  7:05:35 PM,1720214842000,26,4,3
2118988,LOP240705001155,2361 E 29TH ST,E 29TH ST,945A,AMBULANCE REQUESTED,1720206401000,"[-122.225564, 37.7952939]",6063110,2116641,C,21X,CCD5,07/05/24  7:06:41 PM,1720206401000,21,3,2
2118989,LOP240705001157,1582 MACARTHUR BLVD,MACARTHUR BLVD,945A,AMBULANCE REQUESTED,1720206515000,"[-122.2242399, 37.8007327]",6063529,2118614,C,16Y,CCD5,07/05/24  7:08:35 PM,1720206515000,16,3,2
2118990,LOP240705001156,8820 INTERNATIONAL BLVD,INTERNATIONAL BLVD,911C,911 HANG UP FROM CP,1720206485000,"[-122.1753175, 37.7509658]",6077337,2100239,C,34X,CCD7,07/05/24  7:08:05 PM,1720233311000,34,5,3
2118991,LOP240705001159,473 CAPISTRANO DR,CAPISTRANO DR,945A,AMBULANCE REQUESTED,1720206574000,"[-122.1790723, 37.7286743]",6076106,2092143,C,31Z,CCD7,07/05/24  7:09:34 PM,1720206574000,31,5,3
2118992,LOP240705001158,547 59TH ST,59TH ST,933R,ALARM-RINGER,1720206573000,"[-122.2630808, 37.844761]",6052611,2134852,C,11X,CCD1,07/05/24  7:09:33 PM,1720258494000,11,2,1
2118993,LOP240705001160,5715 ELIZABETH ST,ELIZABETH ST,CKVEH,CHECK VEHICLE,1720206606000,"[-122.1952953, 37.7703609]",6071690,2107404,P,27Y,CCD6,07/05/24  7:10:06 PM,1720206606000,27,4,3
2118994,LOP240705001161,2801 SUMMIT ST,SUMMIT ST,602L,TRESPASS:,1720206614000,"[-122.2650537, 37.8164505]",6051847,2124556,C,08X,CCD3,07/05/24  7:10:14 PM,1720258012000,8,2,1
