OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
2033698,,,,,,,,,,,,,,,,,
2093104,,,,,,,,,,,,,,,,,
2101407,LOP240621001034,106TH AV&WB I580,AV&WB I580,HAZ,HAZARDOUS SITUATION/,1718996630000,"[-122.1487005, 37.7451719]",6084994,2097993,C,32Y,CCD7,06/21/24  7:03:50 PM,1718996630000,32,5,3
2101408,LOP240621001035,2633 PLEASANT ST,PLEASANT ST,945A,AMBULANCE REQUESTED,1718996643000,"[-122.2169346, 37.7970954]",6065615,2117251,C,21Y,CCD5,06/21/24  7:04:03 PM,1718996647000,21,3,2
2101409,LOP240621001037,35TH AV&INTERNATIONAL BLVD,AV&INTERNATIONAL BLVD,SECCK,SECURITY CHECK,1718996665000,"[-122.2227097, 37.7761108]",6063806,2109642,A,23X,CCD5,06/21/24  7:04:25 PM,1718996666000,23,4,2
2101410,LOP240621001036,1569 JACKSON ST,JACKSON ST,EVAL,EVALUATION,1718996657000,"[-122.2643692, 37.8035315]",6051956,2119849,C,04X,CCD3,06/21/24  7:04:17 PM,1719043058000,4,1,1
2101411,LOP240621001038,3229 INTERNATIONAL BLVD,INTERNATIONAL BLVD,211S,SILENT ROBBERY ALARM,1718996704000,"[-122.2255042, 37.7773802]",6063007,2110119,C,23X,CCD5,06/21/24  7:05:04 PM,1718999009000,23,4,2
2101412,LOP240621001039,FRUITVALE AV&INTERNATIONAL BLVD,AV&INTERNATIONAL BLVD,242,BATTERY,1718996907000,"[-122.2258454, 37.7776169]",6062910,2110207,C,20X,CCD5,06/21/24  7:08:27 PM,1718997096000,20,3,2
2101413,LOP240621001040,2915 61ST AV,61ST AV,415BF,415 BOYFRIEND,1718996999000,"[-122.1863791, 37.7723868]",6074280,2108095,P,29X,CCD6,06/21/24  7:09:59 PM,1718996999000,29,5,3
2101414,LOP240621001041,7581 HANSOM DR,HANSOM DR,949,SUSPICIOUS VEHICLE,1718997108000,"[-122.1439459, 37.7802679]",6086593,2110746,C,25Y,CCD6,06/21/24  7:11:48 PM,1719011329000,25,4,2
2101415,LOP240621001042,E 12TH ST&35TH AV,12TH ST&35TH AV,901A,VEHICLE COLLISION-PE,1718997246000,"[-122.2231431, 37.7755496]",6063677,2109440,C,23X,CCD5,06/21/24  7:14:06 PM,1719010189000,23,4,2
2101416,LOP240621001044,280 28TH ST,28TH ST,945A,AMBULANCE REQUESTED,1718997688000,"[-122.2628646, 37.816269]",6052478,2124478,C,08X,CCD3,06/21/24  7:21:28 PM,1718997689000,8,2,1
