OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
2033698,,,,,,,,,,,,,,,,,
2065239,LOP240523000960,4801 OAKPORT ST,OAKPORT ST,912,SUSPICIOUS PERSON,1716491045000,"[-122.2181071, 37.7647403]",6065060,2105478,C,26X,CCD5,05/23/24  7:04:05 PM,1716572198000,26,4,3
2065240,LOP240523000961,10950 INTERNATIONAL BLVD,INTERNATIONAL BLVD,911N,POLICE RELATED MATTE,1716491171000,"[-122.164552, 37.736456]",6080355,2094901,C,32X,CCD7,05/23/24  7:06:11 PM,1716491171000,32,5,3
2065241,LOP240523000962,3635 MARTIN LUTHER KING JR WY,MARTIN LUTHER KING JR WY,415BF,415 BOYFRIEND,1716491261000,"[-122.2695366, 37.8257032]",6050616,2127949,C,06X,CCD1,05/23/24  7:07:41 PM,1716515341000,6,1,1
2065242,LOP240523000963,FOOTHILL BLVD&FRUITVALE AV,BLVD&FRUITVALE AV,943,FIGHT,1716491263000,"[-122.2227725, 37.7837433]",6063839,2112421,C,23X,CCD5,05/23/24  7:07:43 PM,1716493754000,23,4,2
2065243,LOP240523000965,3300 WEBSTER ST,WEBSTER ST,911C,911 HANG UP FROM CP,1716491325000,"[-122.2625329, 37.8209682]",6052606,2126187,C,08X,CCD3,05/23/24  7:08:45 PM,1716491327000,8,2,1
2065244,LOP240523000966,78TH AV&BANCROFT AV,AV&BANCROFT AV,415E,LOUD MUSIC,1716491357000,"[-122.1740401, 37.7633637]",6077787,2104746,C,30X,CCD6,05/23/24  7:09:17 PM,1716492042000,30,5,3
2065245,LOP240523000968,7648 GARFIELD AV,GARFIELD AV,415SS,415 SHOT SPOTTER GUN,1716491526000,"[-122.1736162, 37.7649711]",6077920,2105329,C,30Y,CCD6,05/23/24  7:12:06 PM,1716493000000,30,5,3
2065246,LOP240523000969,1125 E 18TH ST,E 18TH ST,912,SUSPICIOUS PERSON,1716491533000,"[-122.2450125, 37.7937525]",6057481,2116184,C,17X,CCD2,05/23/24  7:12:13 PM,1716494718000,17,3,2
2065247,LOP240523000967,2651 73RD AV,73RD AV,415C,415 UNKNOWN,1716491496000,"[-122.1745692, 37.7676467]",6077662,2106308,C,30Y,CCD6,05/23/24  7:11:36 PM,1716506110000,30,5,3
2065248,LOP240523000970,1628 CHURCH ST,CHURCH ST,273_6,VIOLATION OF COURT O,1716491553000,"[-122.1885918, 37.762409]",6073575,2104474,C,30X,CCD6,05/23/24  7:12:33 PM,1716500207000,30,5,3
