OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
2033698,,,,,,,,,,,,,,,,,
2093104,,,,,,,,,,,,,,,,,
2106221,LOP240625001040,FOOTHILL BLVD&HIGH ST,BLVD&HIGH ST,901,VEHICLE COLLISION/PR,1719342364000,"[-122.2118002, 37.7746848]",6066949,2109065,C,23X,CCD5,06/25/24  7:06:04 PM,1719348507000,23,4,2
2106222,LOP240625001041,PLEITNER AV&SCHOOL ST,AV&SCHOOL ST,SECCK,SECURITY CHECK,1719342394000,"[-122.2112667, 37.7941838]",6067233,2116161,C,21Y,CCD5,06/25/24  7:06:34 PM,1719344699000,21,3,2
2106223,LOP240625001043,834 ATHENS AV,ATHENS AV,911C,911 HANG UP FROM CP,1719342444000,"[-122.2761683, 37.8154349]",6048630,2124247,C,07X,CCD3,06/25/24  7:07:24 PM,1719348756000,7,1,1
2106224,LOP240625001044,73RD AV&GARFIELD AV,AV&GARFIELD AV,HAZ,HAZARDOUS SITUATION/,1719342471000,"[-122.1756451, 37.7668733]",6077346,2106032,C,30Y,CCD6,06/25/24  7:07:51 PM,1719366334000,30,5,3
2106226,LOP240625001046,5427 TELEGRAPH AV,TELEGRAPH AV,415C,415 UNKNOWN,1719342507000,"[-122.2620592, 37.8396645]",6052871,2132991,C,11X,CCD1,06/25/24  7:08:27 PM,1719342507000,11,2,1
2106227,LOP240625001048,90TH AV&INTERNATIONAL BLVD,AV&INTERNATIONAL BLVD,945,AMBULANCE FOLLOW UP,1719342730000,"[-122.1745693, 37.7498475]",6077546,2099828,C,34X,CCD7,06/25/24  7:12:10 PM,1719346662000,34,5,3
2106228,LOP240625001049,449 HEGENBERGER RD,HEGENBERGER RD,484,THEFT,1719342750000,"[-122.1969727, 37.7367022]",6070983,2095159,C,31X,CCD7,06/25/24  7:12:30 PM,1719343232000,31,5,3
2106229,LOP240625001050,2106 ROSEDALE AV,ROSEDALE AV,5150,MENTALLY ILL,1719342785000,"[-122.2115321, 37.7794187]",6067058,2110787,C,24X,CCD5,06/25/24  7:13:05 PM,1719414338000,24,4,2
2106230,LOP240625001051,3903 BROADWAY,BROADWAY,911C,911 HANG UP FROM CP,1719342915000,"[-122.2571645, 37.8269127]",6054197,2128322,C,08X,CCD1,06/25/24  7:15:15 PM,1719342915000,8,2,1
