OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
2033698,,,,,,,,,,,,,,,,,
2093104,,,,,,,,,,,,,,,,,
2107402,LOP240626001020,576 VALLE VISTA AV,VALLE VISTA AV,945A,AMBULANCE REQUESTED,1719428646000,"[-122.2467515, 37.8158824]",6057129,2124250,C,14Y,CCD2,06/26/24  7:04:06 PM,1719428660000,14,2,2
2107404,LOP240626001021,4150 REDWOOD RD,REDWOOD RD,459AU,AUTO BURGLARY,1719428658000,"[-122.182797, 37.796953]",6075476,2117020,C,22Y,CCD4,06/26/24  7:04:18 PM,1719428658000,22,3,2
2107405,LOP240626001022,576 VALLE VISTA AV,VALLE VISTA AV,5150,MENTALLY ILL,1719428917000,"[-122.2467515, 37.8158824]",6057129,2124250,C,14Y,CCD2,06/26/24  7:08:37 PM,1719435073000,14,2,2
2107406,LOP240626001024,23RD AV&29TH AV,AV&29TH AV,901,VEHICLE COLLISION/PR,1719428961000,"[-122.2358341, 37.7727815]",6059991,2108500,C,20X,CCD5,06/26/24  7:09:21 PM,1719428961000,20,3,2
2107407,LOP240626001027,3239 KEMPTON AV,KEMPTON AV,R10851,RECOVERED STOLEN VEH,1719429062000,"[-122.257233, 37.8198579]",6054129,2125754,C,08X,CCD3,06/26/24  7:11:02 PM,1719440355000,8,2,1
2107408,LOP240626001025,2128 17TH AV,17TH AV,911N,POLICE RELATED MATTE,1719429055000,"[-122.2381513, 37.7929858]",6059458,2115868,C,18Y,CCD2,06/26/24  7:10:55 PM,1719429055000,18,3,2
2107409,LOP240626001026,1044 53RD ST,53RD ST,CKVEH,CHECK VEHICLE,1719429058000,"[-122.2794261, 37.8375196]",6047842,2132305,C,10X,CCD1,06/26/24  7:10:58 PM,1719448941000,10,2,1
2107410,LOP240626001029,1461 ALICE ST,ALICE ST,244,ASSAULT WITH CAUSTIC,1719429080000,"[-122.2661542, 37.8030378]",6051437,2119679,C,04X,CCD3,06/26/24  7:11:20 PM,1719439614000,4,1,1
2107411,LOP240626001031,516 31ST ST,31ST ST,242,BATTERY,1719429229000,"[-122.2673047, 37.8201002]",6051222,2125897,C,08X,CCD3,06/26/24  7:13:49 PM,1719429230000,8,2,1
2107412,LOP240626001030,101 WASHINGTON ST,WASHINGTON ST,911N,POLICE RELATED MATTE,1719429211000,"[-122.2780687, 37.7959011]",6047946,2117146,C,01X,CCD3,06/26/24  7:13:31 PM,1719429211000,1,1,1
