OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
2033698,,,,,,,,,,,,,,,,,
2093104,,,,,,,,,,,,,,,,,
2116066,LOP240703001011,1001 MACARTHUR BLVD,MACARTHUR BLVD,941,PERSON DETAINED-IN C,1720033460000,"[-122.237303, 37.8055512]",6059788,2120438,C,15X,CCD2,07/03/24  7:04:20 PM,1720033960000,15,3,2
2116067,LOP240703001012,7101 EDGEWATER DR,EDGEWATER DR,415C,415 UNKNOWN,1720033606000,"[-122.2094674, 37.7488054]",6067451,2099631,C,31X,CCD7,07/03/24  7:06:46 PM,1720033606000,31,5,3
2116068,LOP240703001013,85TH AV&HOLLY ST,AV&HOLLY ST,901D,VEHICLE COLLISION-DR,1720033665000,"[-122.1757613, 37.7543848]",6077231,2101486,C,34X,CCD6,07/03/24  7:07:45 PM,1720048420000,34,5,3
2116069,LOP240703001014,6137 VIEW CREST DR,VIEW CREST DR,215,CARJACKING,1720033748000,"[-122.1661459, 37.7856393]",6080213,2112815,C,25Y,CCD6,07/03/24  7:09:08 PM,1720069923000,25,4,2
2116070,LOP240703001016,GRAND AV&STATEN AV,AV&STATEN AV,911N,POLICE RELATED MATTE,1720033919000,"[-122.2538305, 37.8087758]",6055036,2121701,C,14X,CCD3,07/03/24  7:11:59 PM,1720033919000,14,2,2
2116071,LOP240703001017,2615 E 12TH ST,E 12TH ST,459,BURGLARY,1720033957000,"[-122.2332748, 37.7804085]",6060782,2111263,P,20X,CCD5,07/03/24  7:12:37 PM,1720033957000,20,3,2
2116072,LOP240703001018,7101 EDGEWATER DR,EDGEWATER DR,911C,911 HANG UP FROM CP,1720034024000,"[-122.2094674, 37.7488054]",6067451,2099631,C,31X,CCD7,07/03/24  7:13:44 PM,1720034024000,31,5,3
2116073,LOP240703001019,4311 REINHARDT DR,REINHARDT DR,R10851,RECOVERED STOLEN VEH,1720034125000,"[-122.1842947, 37.7926274]",6075015,2115453,C,25X,CCD4,07/03/24  7:15:25 PM,1720046234000,25,4,2
2116074,LOP240703001021,1378 63RD AV,63RD AV,5150,MENTALLY ILL,1720034311000,"[-122.1977565, 37.7626812]",6070928,2104621,C,26Y,CCD6,07/03/24  7:18:31 PM,1720034314000,26,4,3
2116075,LOP240703001022,DERBY AV&GLASCOCK ST,AV&GLASCOCK ST,901A,VEHICLE COLLISION-PE,1720034322000,"[-122.2321055, 37.771375]",6061059,2107968,C,20X,CCD5,07/03/24  7:18:42 PM,1720041356000,20,3,2
