OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
2033698,,,,,,,,,,,,,,,,,
2093104,,,,,,,,,,,,,,,,,
2131926,LOP240716000994,7101 EDGEWATER DR,EDGEWATER DR,911C,911 HANG UP FROM CP,1721156806000,"[-122.2094674, 37.7488054]",6067451,2099631,C,31X,CCD7,07/16/24  7:06:46 PM,1721156806000,31,5,3
2131927,LOP240716000993,4122 PARK BLVD,PARK BLVD,945A,AMBULANCE REQUESTED,1721156801000,"[-122.224241, 37.806446]",6063567,2120694,C,16Y,CCD5,07/16/24  7:06:41 PM,1721156805000,16,3,2
2131928,LOP240716000995,9706 D ST,D ST,415BF,415 BOYFRIEND,1721156843000,"[-122.1763346, 37.7426863]",6076989,2097230,C,33X,CCD7,07/16/24  7:07:23 PM,1721181558000,33,5,3
2131929,LOP240716000998,54TH AV&SAN LEANDRO ST,AV&SAN LEANDRO ST,945A,AMBULANCE REQUESTED,1721156989000,"[-122.209627, 37.7643088]",6067508,2105276,C,26Y,CCD5,07/16/24  7:09:49 PM,1721156990000,26,4,3
2131930,LOP240716000999,1920 E 12TH ST,E 12TH ST,929,FIRE,1721157003000,"[-122.2415558, 37.7855439]",6058424,2113177,C,19X,CCD2,07/16/24  7:10:03 PM,1721157003000,19,3,2
2131931,LOP240716001002,7200 HAMILTON ST,HAMILTON ST,SECCK,SECURITY CHECK,1721157182000,"[-122.1913519, 37.7573511]",6072744,2102647,C,26Y,CCD7,07/16/24  7:13:02 PM,1721158352000,26,4,3
2131932,LOP240716001003,PERKINS ST&VAN BUREN AV,ST&VAN BUREN AV,912,SUSPICIOUS PERSON,1721157185000,"[-122.2553397, 37.8106651]",6054613,2122397,A,14X,CCD3,07/16/24  7:13:05 PM,1721158097000,14,2,2
2131933,LOP240716001004,1853 38TH AV,38TH AV,FNDPRO,FOUND PROPERTY,1721157255000,"[-122.2169637, 37.7785954]",6065483,2110516,C,23X,CCD5,07/16/24  7:14:15 PM,1721157297000,23,4,2
2131934,LOP240716001005,303 ADAMS ST,ADAMS ST,912,SUSPICIOUS PERSON,1721157335000,"[-122.256669, 37.8140239]",6054252,2123627,C,14X,CCD3,07/16/24  7:15:35 PM,1721157335000,14,2,2
2131935,LOP240716001006,101ST AV&BANCROFT AV,AV&BANCROFT AV,415GS,415 GUNSHOTS,1721157345000,"[-122.1592754, 37.7447241]",6081934,2097884,C,32Y,CCD7,07/16/24  7:15:45 PM,1721187975000,32,5,3
