OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
2033698,,,,,,,,,,,,,,,,,
2068926,LOP240526001039,3246 PRENTISS ST,PRENTISS ST,MSDIAL,MISDIAL,1716750337000,"[-122.2187841, 37.7884655]",6065023,2114119,C,21Y,CCD5,05/26/24  7:05:37 PM,1716750337000,21,3,2
2068927,LOP240526001038,115 EMBARCADERO,EMBARCADERO,5150,MENTALLY ILL,1716750309000,"[-122.2682578, 37.7916455]",6050751,2115543,C,01X,CCD3,05/26/24  7:05:09 PM,1716754266000,1,1,1
2068928,LOP240526001040,455 7TH ST,7TH ST,484,THEFT,1716750348000,"[-122.2743715, 37.7995112]",6049039,2118440,C,03Y,CCD3,05/26/24  7:05:48 PM,1716752053000,3,1,1
2068929,LOP240526001041,307 COVINGTON ST,COVINGTON ST,459AU,AUTO BURGLARY,1716750488000,"[-122.136688, 37.7342232]",6088397,2093946,C,35Y,CCD7,05/26/24  7:08:08 PM,1716750498000,35,5,3
2068930,LOP240526001042,5240 TELEGRAPH AV,TELEGRAPH AV,911C,911 HANG UP FROM CP,1716750597000,"[-122.2620997, 37.8383097]",6052850,2132498,C,12Y,CCD1,05/26/24  7:09:57 PM,1716750597000,12,2,1
2068931,LOP240526001043,1817 55TH AV,55TH AV,10851,STOLEN VEHICLE,1716750627000,"[-122.2001009, 37.7697231]",6070297,2107197,C,27Y,CCD6,05/26/24  7:10:27 PM,1716756546000,27,4,3
2068932,LOP240526001045,2651 73RD AV,73RD AV,ADMIN,ADMIN WORK,1716750772000,"[-122.1745692, 37.7676467]",6077662,2106308,C,30Y,CCD6,05/26/24  7:12:52 PM,1716753740000,30,5,3
2068933,LOP240526001048,7425 INTERNATIONAL BLVD,INTERNATIONAL BLVD,911C,911 HANG UP FROM CP,1716750843000,"[-122.1861301, 37.7586757]",6074262,2103102,C,26Y,CCD7,05/26/24  7:14:03 PM,1716750843000,26,4,3
2068934,LOP240526001047,1600 INTERNATIONAL BLVD,INTERNATIONAL BLVD,976,CAR STOP,1716750841000,"[-122.2441315, 37.7883735]",6057699,2114221,C,19X,CCD2,05/26/24  7:14:01 PM,1716751088000,19,3,2
2068935,LOP240526001046,3401 INTERNATIONAL BLVD,INTERNATIONAL BLVD,911C,911 HANG UP FROM CP,1716750818000,"[-122.2238629, 37.7765939]",6063476,2109824,A,23X,CCD5,05/26/24  7:13:38 PM,1716757752000,23,4,2
