OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
2033698,,,,,,,,,,,,,,,,,
2082371,LOP240606001027,2511 MASON ST,MASON ST,901,VEHICLE COLLISION/PR,1717700728000,"[-122.1923014, 37.7720026]",6072566,2107986,P,29X,CCD6,06/06/24  7:05:28 PM,1717713764000,29,5,3
2082372,LOP240606001028,8TH ST&ADELINE ST,ST&ADELINE ST,977,WALKING STOP,1717700848000,"[-122.2878553, 37.8048451]",6045181,2120456,C,02X,CCD3,06/06/24  7:07:28 PM,1717703574000,2,1,1
2082373,LOP240606001030,1025 E 28TH ST,E 28TH ST,933R,ALARM-RINGER,1717700891000,"[-122.2373756, 37.800518]",6059733,2118606,C,17Y,CCD2,06/06/24  7:08:11 PM,1717713470000,17,3,2
2082374,LOP240606001031,836 E 19TH ST,E 19TH ST,MSDIAL,MISDIAL,1717700908000,"[-122.2463775, 37.7966027]",6057106,2117229,C,17X,CCD2,06/06/24  7:08:28 PM,1717700909000,17,3,2
2082375,LOP240606001029,1136 10TH AV,10TH AV,415F,415 FAMILY,1717700888000,"[-122.2512079, 37.7909413]",6055672,2115194,C,19X,CCD2,06/06/24  7:08:08 PM,1717703222000,19,3,2
2082376,LOP240606001032,9223 SUNNYSIDE ST,SUNNYSIDE ST,945A,AMBULANCE REQUESTED,1717700945000,"[-122.1660876, 37.7520306]",6080012,2100579,C,34X,CCD7,06/06/24  7:09:05 PM,1717700963000,34,5,3
2082377,LOP240606001033,2343 26TH AV,26TH AV,415SS,415 SHOT SPOTTER GUN,1717700967000,"[-122.225926, 37.7879355]",6062956,2113964,C,21X,CCD5,06/06/24  7:09:27 PM,1717703678000,21,3,2
2082378,LOP240606001034,2122 E 25TH ST,E 25TH ST,MSDIAL,MISDIAL,1717701082000,"[-122.2309686, 37.7931189]",6061534,2115878,C,18Y,CCD2,06/06/24  7:11:22 PM,1717701184000,18,3,2
2082379,LOP240606001036,1102 14TH ST,14TH ST,BTNFO,BEAT INFORMATION,1717701229000,"[-122.2851216, 37.8093611]",6046002,2122085,C,05X,CCD3,06/06/24  7:13:49 PM,1717705521000,5,1,1
2082380,LOP240606001038,1415 HARRISON ST,HARRISON ST,945A,AMBULANCE REQUESTED,1717701326000,"[-122.2675787, 37.8031071]",6051026,2119712,C,04X,CCD3,06/06/24  7:15:26 PM,1717701327000,4,1,1
