OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
2033698,,,,,,,,,,,,,,,,,
2084738,LOP240608000929,2101 8TH AV,8TH AV,415C,415 UNKNOWN,1717873632000,"[-122.2449096, 37.7982148]",6057541,2117808,C,17Y,CCD2,06/08/24  7:07:12 PM,1717881166000,17,3,2
2084739,LOP240608000930,2101 8TH AV,8TH AV,945A,AMBULANCE REQUESTED,1717873679000,"[-122.2449096, 37.7982148]",6057541,2117808,C,17Y,CCD2,06/08/24  7:07:59 PM,1717873680000,17,3,2
2084740,LOP240608000931,2035 46TH AV,46TH AV,415C,415 UNKNOWN,1717873769000,"[-122.2086578, 37.7749721]",6067859,2109153,C,27X,CCD5,06/08/24  7:09:29 PM,1717893058000,27,4,3
2084741,LOP240608000932,1831 89TH AV,89TH AV,913TH,SUICIDE THREATS,1717873801000,"[-122.1704907, 37.7524627]",6078742,2100759,C,34X,CCD7,06/08/24  7:10:01 PM,1717876450000,34,5,3
2084742,LOP240608000933,275 MACARTHUR BLVD,MACARTHUR BLVD,901A,VEHICLE COLLISION-PE,1717873949000,"[-122.2517436, 37.8146794]",6055679,2123839,C,14X,CCD3,06/08/24  7:12:29 PM,1717880991000,14,2,2
2084743,LOP240608000934,65TH AV&INTERNATIONAL BLVD,AV&INTERNATIONAL BLVD,415C,415 UNKNOWN,1717873961000,"[-122.19461, 37.7627732]",6071838,2104638,C,27Y,CCD6,06/08/24  7:12:41 PM,1717874083000,27,4,3
2084744,LOP240608000936,7101 EDGEWATER DR,EDGEWATER DR,415C,415 UNKNOWN,1717874185000,"[-122.2094674, 37.7488054]",6067451,2099631,C,31X,CCD7,06/08/24  7:16:25 PM,1717874207000,31,5,3
2084745,LOP240608000935,104 OAK ST,OAK ST,211,ROBBERY,1717874159000,"[-122.2680989, 37.7925351]",6050803,2115866,C,01X,CCD3,06/08/24  7:15:59 PM,1717887793000,1,1,1
2084746,LOP240608000937,8026 INTERNATIONAL BLVD,INTERNATIONAL BLVD,OD,OVERDOSE,1717874238000,"[-122.1813313, 37.7565303]",6075635,2102296,C,30X,CCD7,06/08/24  7:17:18 PM,1717875630000,30,5,3
2084747,LOP240608000938,55 MACARTHUR BLVD,MACARTHUR BLVD,243E,BATTERY ON CO-HABITA,1717874260000,"[-122.2545186, 37.820607]",6054918,2126012,C,09X,CCD3,06/08/24  7:17:40 PM,1717876485000,9,2,1
