OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
2033698,,,,,,,,,,,,,,,,,
2074786,LOP240531000998,7101 EDGEWATER DR,EDGEWATER DR,415C,415 UNKNOWN,1717182283000,"[-122.2094674, 37.7488054]",6067451,2099631,C,31X,CCD7,05/31/24  7:04:43 PM,1717182283000,31,5,3
2074787,LOP240531000997,10TH ST&WEBSTER ST,ST&WEBSTER ST,SECCK,SECURITY CHECK,1717182259000,"[-122.2705109, 37.8006377]",6050162,2118829,C,03X,CCD2,05/31/24  7:04:19 PM,1717187146000,3,1,1
2074788,LOP240531000999,2506 HIGH ST,HIGH ST,945A,AMBULANCE REQUESTED,1717182295000,"[-122.2053177, 37.781275]",6068866,2111430,C,27X,CCD4,05/31/24  7:04:55 PM,1717182295000,27,4,3
2074789,LOP240531001000,6614 BANCROFT AV,BANCROFT AV,459,BURGLARY,1717182336000,"[-122.1828459, 37.7697839]",6075284,2107129,C,29X,CCD6,05/31/24  7:05:36 PM,1717182923000,29,5,3
2074790,LOP240531001001,1103 EMBARCADERO,EMBARCADERO,918,PERSON SCREAMING,1717182396000,"[-122.2518678, 37.7882478]",6055463,2114217,C,19X,CCD2,05/31/24  7:06:36 PM,1717184696000,19,3,2
2074791,LOP240531001002,10950 INTERNATIONAL BLVD,INTERNATIONAL BLVD,SURV,UNITS ON SURVEILLANC,1717182430000,"[-122.164552, 37.736456]",6080355,2094901,A,32X,CCD7,05/31/24  7:07:10 PM,1717183104000,32,5,3
2074792,LOP240531001003,5108 BROADWAY,BROADWAY,MSDIAL,MISDIAL,1717182478000,"[-122.2518755, 37.8350834]",6055780,2131268,C,09X,CCD1,05/31/24  7:07:58 PM,1717182478000,9,2,1
2074793,LOP240531001004,1400 E 31ST ST,E 31ST ST,484LP,STOLEN LICENSE PLATE,1717182522000,"[-122.231335, 37.7993323]",6061470,2118142,C,17Y,CCD2,05/31/24  7:08:42 PM,1717193298000,17,3,2
2074794,LOP240531001006,9TH ST&MANDELA PKWY,ST&MANDELA PKWY,415C,415 UNKNOWN,1717182617000,"[-122.2930772, 37.8069029]",6043687,2121234,C,02Y,CCD3,05/31/24  7:10:17 PM,1717183006000,2,1,1
2074795,LOP240531001009,FRUITVALE AV&LYNDE ST,AV&LYNDE ST,415C,415 UNKNOWN,1717182673000,"[-122.2198158, 37.7911671]",6064743,2115108,P,21Y,CCD5,05/31/24  7:11:13 PM,1717182673000,21,3,2
