OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
2033698,,,,,,,,,,,,,,,,,
2070124,LOP240527000907,1010 60TH ST,60TH ST,MJ,MISSING JUVENILE,1716836632000,"[-122.2796563, 37.8436524]",6047818,2134539,C,10X,CCD1,05/27/24  7:03:52 PM,1716837312000,10,2,1
2070125,LOP240527000908,1812 57TH AV,57TH AV,911C,911 HANG UP FROM CP,1716836707000,"[-122.1984965, 37.7682602]",6070751,2106656,C,27Y,CCD6,05/27/24  7:05:07 PM,1716843822000,27,4,3
2070126,LOP240527000909,1300 66TH AV,66TH AV,SECCK,SECURITY CHECK,1716836724000,"[-122.194902, 37.7610137]",6071742,2103999,C,26Y,CCD6,05/27/24  7:05:24 PM,1716838523000,26,4,3
2070127,LOP240527000911,1411 E 31ST ST,E 31ST ST,415C,415 UNKNOWN,1716836928000,"[-122.2311758, 37.7991891]",6061515,2118089,C,17Y,CCD2,05/27/24  7:08:48 PM,1716840810000,17,3,2
2070128,LOP240527000912,3531 SAN LEANDRO ST,SAN LEANDRO ST,911C,911 HANG UP FROM CP,1716836948000,"[-122.2240312, 37.7738529]",6063409,2108827,C,23X,CCD5,05/27/24  7:09:08 PM,1716846627000,23,4,2
2070129,LOP240527000914,722 WASHINGTON ST,WASHINGTON ST,945A,AMBULANCE REQUESTED,1716837042000,"[-122.2752727, 37.8001376]",6048783,2118673,C,03Y,CCD3,05/27/24  7:10:42 PM,1716837042000,3,1,1
2070130,LOP240527000915,2651 73RD AV,73RD AV,415C,415 UNKNOWN,1716837091000,"[-122.1745692, 37.7676467]",6077662,2106308,C,30Y,CCD6,05/27/24  7:11:31 PM,1716850949000,30,5,3
2070131,LOP240527000916,280 28TH ST,28TH ST,945A,AMBULANCE REQUESTED,1716837097000,"[-122.2628646, 37.816269]",6052478,2124478,C,08X,CCD3,05/27/24  7:11:37 PM,1716837097000,8,2,1
2070132,LOP240527000918,98TH AV&MACARTHUR BLVD,AV&MACARTHUR BLVD,953,INVESTIGATE REPORT O,1716837180000,"[-122.1588255, 37.7498312]",6082097,2099741,C,32Y,CCD7,05/27/24  7:13:00 PM,1716837202000,32,5,3
2070133,LOP240527000919,1415 35TH AV,35TH AV,BCAST,BROADCAST,1716837439000,"[-122.2225928, 37.7764422]",6063842,2109762,C,23X,CCD5,05/27/24  7:17:19 PM,1716839656000,23,4,2
