OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
2033698,,,,,,,,,,,,,,,,,
2093104,,,,,,,,,,,,,,,,,
2114820,LOP240702001118,REDWOOD RD&SB S13,RD&SB S13,901,VEHICLE COLLISION/PR,1719947065000,"[-122.1854892, 37.7985901]",6074709,2117630,C,25X,CCD4,07/02/24  7:04:25 PM,1719947065000,25,4,2
2114821,LOP240702001119,6100 E 16TH ST,E 16TH ST,594,VANDALISM,1719947099000,"[-122.1972116, 37.7653342]",6071103,2105584,P,27Y,CCD6,07/02/24  7:04:59 PM,1719947099000,27,4,3
2114822,LOP240702001120,643 DOUGLAS AV,DOUGLAS AV,WELCK,WELFARE CHECK -- CHE,1719947205000,"[-122.1813335, 37.7346109]",6075491,2094316,C,31Y,CCD7,07/02/24  7:06:45 PM,1719997932000,31,5,3
2114823,LOP240702001121,REDWOOD RD&SB S13,RD&SB S13,901,VEHICLE COLLISION/PR,1719947233000,"[-122.1854892, 37.7985901]",6074709,2117630,C,25X,CCD4,07/02/24  7:07:13 PM,1719947233000,25,4,2
2114824,LOP240702001122,801 10TH ST,10TH ST,945A,AMBULANCE REQUESTED,1719947353000,"[-122.2802344, 37.8052323]",6047385,2120555,C,02X,CCD3,07/02/24  7:09:13 PM,1719947353000,2,1,1
2114825,LOP240702001124,1517 29TH AV,29TH AV,10851,STOLEN VEHICLE,1719947394000,"[-122.2287801, 37.7795544]",6062075,2110928,C,20X,CCD5,07/02/24  7:09:54 PM,1719970865000,20,3,2
2114826,LOP240702001123,810 INTERNATIONAL BLVD,INTERNATIONAL BLVD,211,ROBBERY,1719947356000,"[-122.2512058, 37.7934958]",6055690,2116124,C,19X,CCD2,07/02/24  7:09:16 PM,1719953534000,19,3,2
2114827,LOP240702001125,1223 34TH ST,34TH ST,911N,POLICE RELATED MATTE,1719947405000,"[-122.2816993, 37.8257399]",6047104,2128029,C,07X,CCD3,07/02/24  7:10:05 PM,1719947406000,7,1,1
2114828,LOP240702001126,720 2ND ST,2ND ST,911H,911 HANG-UP,1719947454000,"[-122.2827698, 37.7986511]",6046607,2118173,C,02X,CCD3,07/02/24  7:10:54 PM,1719960843000,2,1,1
2114829,LOP240702001127,2301 98TH AV,98TH AV,945A,AMBULANCE REQUESTED,1719947490000,"[-122.1608297, 37.748957]",6081512,2099433,C,35X,CCD7,07/02/24  7:11:30 PM,1719947490000,35,5,3
