OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
2033698,,,,,,,,,,,,,,,,,
2093104,,,,,,,,,,,,,,,,,
2103670,LOP240623000959,1606 81ST AV,81ST AV,945A,AMBULANCE REQUESTED,1719169452000,"[-122.1770559, 37.7577861]",6076879,2102731,C,30X,CCD6,06/23/24  7:04:12 PM,1719169452000,30,5,3
2103671,LOP240623000960,5401 COLISEUM WY,COLISEUM WY,10851,STOLEN VEHICLE,1719169464000,"[-122.2102007, 37.7599248]",6067313,2103683,C,26X,CCD6,06/23/24  7:04:24 PM,1719171137000,26,4,3
2103672,LOP240623000961,6916 SNAKE RD,SNAKE RD,ASSIST,ASSIST,1719169503000,"[-122.2018083, 37.8359398]",6070242,2131313,C,13Z,CCD4,06/23/24  7:05:03 PM,1719169503000,13,2,1
2103673,LOP240623000962,57TH AV&ELIZABETH ST,AV&ELIZABETH ST,SECCK,SECURITY CHECK,1719169532000,"[-122.195477, 37.7704407]",6071638,2107434,C,27Y,CCD6,06/23/24  7:05:32 PM,1719170653000,27,4,3
2103674,LOP240623000963,9121 LAWLOR ST,LAWLOR ST,911C,911 HANG UP FROM CP,1719169666000,"[-122.1590245, 37.7551791]",6082074,2101689,C,35X,CCD7,06/23/24  7:07:46 PM,1719191943000,35,5,3
2103675,LOP240623000964,4030 PANAMA CT,PANAMA CT,242,BATTERY,1719169671000,"[-122.2517343, 37.8251421]",6055753,2127648,C,09X,CCD1,06/23/24  7:07:51 PM,1719191730000,9,2,1
2103676,LOP240623000965,103RD AV&PLYMOUTH ST,AV&PLYMOUTH ST,415C,415 UNKNOWN,1719169673000,"[-122.1648419, 37.7416736]",6080305,2096802,C,32X,CCD7,06/23/24  7:07:53 PM,1719212472000,32,5,3
2103677,LOP240623000966,2020 9TH AV,9TH AV,215,CARJACKING,1719169739000,"[-122.2447327, 37.7968715]",6057583,2117318,C,17X,CCD2,06/23/24  7:08:59 PM,1719174105000,17,3,2
2103678,LOP240623000968,12500 CAMPUS DR,CAMPUS DR,MSDIAL,MISDIAL,1719169916000,"[-122.1676955, 37.7913032]",6079802,2114885,C,25Y,CCD6,06/23/24  7:11:56 PM,1719169925000,25,4,2
2103679,LOP240623000970,200 ORANGE ST,ORANGE ST,921,CAR PROWLER OR CLOUT,1719169995000,"[-122.2573355, 37.8154121]",6054069,2124136,C,14X,CCD3,06/23/24  7:13:15 PM,1719177867000,14,2,2
