OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
2033698,,,,,,,,,,,,,,,,,
2091450,LOP240613001019,GOLF LINKS RD&SCOTIA AV,LINKS RD&SCOTIA AV,374,DUMP WASTE OR OFFENS,1718305413000,"[-122.1272879, 37.7542949]",6091242,2101206,C,35Y,CCD7,06/13/24  7:03:33 PM,1718305758000,35,5,3
2091451,LOP240613001020,86TH AV&D ST,AV&D ST,415,DISTURBING THE PEACE,1718305464000,"[-122.181614, 37.7502197]",6075512,2100000,C,33X,CCD7,06/13/24  7:04:24 PM,1718312156000,33,5,3
2091452,LOP240613001021,5500 BANCROFT AV,BANCROFT AV,SECCK,SECURITY CHECK,1718305466000,"[-122.1972392, 37.7716926]",6071137,2107899,A,29X,CCD6,06/13/24  7:04:26 PM,1718305466000,29,5,3
2091453,LOP240613001022,7950 NEY AV,NEY AV,10851,STOLEN VEHICLE,1718305579000,"[-122.1651673, 37.7653023]",6080364,2105406,C,30Y,CCD6,06/13/24  7:06:19 PM,1718344828000,30,5,3
2091454,LOP240613001023,COLLEGE AV&EB S24,AV&EB S24,901,VEHICLE COLLISION/PR,1718305806000,"[-122.2517825, 37.8443497]",6055870,2134641,C,12Y,CCD1,06/13/24  7:10:06 PM,1718305812000,12,2,1
2091455,LOP240613001025,6400 MACARTHUR BLVD,MACARTHUR BLVD,242,BATTERY,1718305932000,"[-122.1796072, 37.7739201]",6076247,2108618,C,29X,CCD6,06/13/24  7:12:12 PM,1718325590000,29,5,3
2091456,LOP240613001026,1305 CENTER ST,CENTER ST,945A,AMBULANCE REQUESTED,1718305976000,"[-122.293266, 37.8102758]",6043656,2122463,C,02Y,CCD3,06/13/24  7:12:56 PM,1718305977000,2,1,1
2091457,LOP240613001028,1303 CENTER ST,CENTER ST,945A,AMBULANCE REQUESTED,1718306033000,"[-122.293279, 37.8102427]",6043652,2122451,C,02Y,CCD3,06/13/24  7:13:53 PM,1718306033000,2,1,1
2091458,LOP240613001027,2042 104TH AV,104TH AV,459,BURGLARY,1718305990000,"[-122.1603673, 37.7418878]",6081600,2096857,P,32Y,CCD7,06/13/24  7:13:10 PM,1718306029000,32,5,3
2091459,LOP240613001030,6450 CAMDEN ST,CAMDEN ST,911C,911 HANG UP FROM CP,1718306100000,"[-122.1815692, 37.7717798]",6075666,2107849,C,29X,CCD6,06/13/24  7:15:00 PM,1718323590000,29,5,3
