OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
2033698,,,,,,,,,,,,,,,,,
2073596,LOP240530001049,5478 COLLEGE AV,COLLEGE AV,498,THEFT OF UTILITY SER,1717095893000,"[-122.2514198, 37.8416028]",6055956,2133639,C,12Y,CCD1,05/30/24  7:04:53 PM,1717103078000,12,2,1
2073597,LOP240530001051,7326 INTERNATIONAL BLVD,INTERNATIONAL BLVD,933R,ALARM-RINGER,1717096095000,"[-122.1867906, 37.7591195]",6074074,2103267,C,30X,CCD7,05/30/24  7:08:15 PM,1717097314000,30,5,3
2073598,LOP240530001052,462 BELLEVUE AV,BELLEVUE AV,415C,415 UNKNOWN,1717096191000,"[-122.2528871, 37.8082624]",6055305,2121509,C,14X,CCD3,05/30/24  7:09:51 PM,1717098868000,14,2,2
2073599,LOP240530001054,5468 LOCKSLEY AV,LOCKSLEY AV,912,SUSPICIOUS PERSON,1717096276000,"[-122.254195, 37.842957]",6055164,2134147,C,12Y,CCD1,05/30/24  7:11:16 PM,1717111784000,12,2,1
2073600,LOP240530001053,8955 GOLF LINKS RD,GOLF LINKS RD,945A,AMBULANCE REQUESTED,1717096275000,"[-122.1553189, 37.7582664]",6083165,2102794,C,35X,CCD7,05/30/24  7:11:15 PM,1717096276000,35,5,3
2073601,LOP240530001055,455 7TH ST,7TH ST,484LP,STOLEN LICENSE PLATE,1717096321000,"[-122.2743715, 37.7995112]",6049039,2118440,C,03Y,CCD3,05/30/24  7:12:01 PM,1717119728000,3,1,1
2073602,LOP240530001056,1935 E 30TH ST,E 30TH ST,MSDIAL,MISDIAL,1717096369000,"[-122.2293094, 37.7979721]",6062046,2117636,C,18Y,CCD5,05/30/24  7:12:49 PM,1717096369000,18,3,2
2073603,LOP240530001057,4145 CARRINGTON ST,CARRINGTON ST,945A,AMBULANCE REQUESTED,1717096471000,"[-122.2112155, 37.7779922]",6067140,2110266,C,24X,CCD5,05/30/24  7:14:31 PM,1717097300000,24,4,2
2073604,LOP240530001061,1521 2ND AV,2ND AV,415C,415 UNKNOWN,1717096525000,"[-122.2552428, 37.7988058]",6054560,2118079,C,19X,CCD2,05/30/24  7:15:25 PM,1717096526000,19,3,2
2073605,LOP240530001060,HIGH ST&MACARTHUR BLVD,ST&MACARTHUR BLVD,20002,HIT & RUN (PROPERTY,1717096507000,"[-122.1948177, 37.7873429]",6071940,2113584,C,25X,CCD4,05/30/24  7:15:07 PM,1717096627000,25,4,2
