OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
2033698,,,,,,,,,,,,,,,,,
2093104,,,,,,,,,,,,,,,,,
2110929,LOP240629000976,4108 INTERNATIONAL BLVD,INTERNATIONAL BLVD,945A,AMBULANCE REQUESTED,1719687818000,"[-122.2166926, 37.7733007]",6065526,2108587,C,23X,CCD5,06/29/24  7:03:38 PM,1719687818000,23,4,2
2110930,LOP240629000977,COLLEGE AV&KALES AV,AV&KALES AV,SECCK,SECURITY CHECK,1719687934000,"[-122.2514149, 37.8409574]",6055953,2133404,A,12Y,CCD1,06/29/24  7:05:34 PM,1719687941000,12,2,1
2110931,LOP240629000978,2010 MANDELA PKWY,MANDELA PKWY,R10851,RECOVERED STOLEN VEH,1719687991000,"[-122.2896328, 37.8152478]",6044740,2124253,C,05X,CCD3,06/29/24  7:06:31 PM,1719739684000,5,1,1
2110932,LOP240629000979,HILLER DR&TUNNEL RD,DR&TUNNEL RD,SECCK,SECURITY CHECK,1719688057000,"[-122.2324145, 37.8513872]",6061509,2137099,C,13Y,CCD1,06/29/24  7:07:37 PM,1719689843000,13,2,1
2110933,LOP240629000980,8480 EDES AV,EDES AV,187,MURDER,1719688074000,"[-122.1939019, 37.7396086]",6071890,2096201,C,31Y,CCD7,06/29/24  7:07:54 PM,1719772631000,31,5,3
2110934,LOP240629000981,8480 EDES AV,EDES AV,911C,911 HANG UP FROM CP,1719688204000,"[-122.1939019, 37.7396086]",6071890,2096201,C,31Y,CCD7,06/29/24  7:10:04 PM,1719689868000,31,5,3
2110935,LOP240629000982,7101 EDGEWATER DR,EDGEWATER DR,911C,911 HANG UP FROM CP,1719688284000,"[-122.2094674, 37.7488054]",6067451,2099631,C,31X,CCD7,06/29/24  7:11:24 PM,1719688288000,31,5,3
2110936,LOP240629000983,333 HEGENBERGER RD,HEGENBERGER RD,911C,911 HANG UP FROM CP,1719688344000,"[-122.1976818, 37.7348874]",6070766,2094502,C,31X,CCD7,06/29/24  7:12:24 PM,1719735545000,31,5,3
2110937,LOP240629000984,809 ADELINE ST,ADELINE ST,945A,AMBULANCE REQUESTED,1719688417000,"[-122.2878891, 37.8049572]",6045172,2120497,C,02X,CCD3,06/29/24  7:13:37 PM,1719688429000,2,1,1
2110938,LOP240629000985,COLLEGE AV&OAK GROVE AV,AV&OAK GROVE AV,459AU,AUTO BURGLARY,1719688444000,"[-122.2519712, 37.846179]",6055828,2135308,C,12Y,CCD1,06/29/24  7:14:04 PM,1719688910000,12,2,1
