OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
2033698,,,,,,,,,,,,,,,,,
2085973,LOP240609000998,88TH AV&INTERNATIONAL BLVD,AV&INTERNATIONAL BLVD,415C,415 UNKNOWN,1717959820000,"[-122.1754471, 37.7510354]",6077300,2100265,C,34X,CCD7,06/09/24  7:03:40 PM,1717964662000,34,5,3
2085974,LOP240609000999,1661 69TH AV,69TH AV,R10851,RECOVERED STOLEN VEH,1717959859000,"[-122.1874303, 37.7626042]",6073912,2104539,C,30X,CCD6,06/09/24  7:04:19 PM,1717962739000,30,5,3
2085975,LOP240609001000,7TH AV&INTERNATIONAL BLVD,AV&INTERNATIONAL BLVD,SECCK,SECURITY CHECK,1717959873000,"[-122.2521936, 37.7942832]",6055410,2116416,C,19X,CCD2,06/09/24  7:04:33 PM,1717960278000,19,3,2
2085976,LOP240609001001,871 34TH ST,34TH ST,R10851,RECOVERED STOLEN VEH,1717959945000,"[-122.2746276, 37.8244209]",6049137,2127510,C,06X,CCD3,06/09/24  7:05:45 PM,1717978924000,6,1,1
2085977,LOP240609001004,FILBERT ST&W GRAND AV,ST&W GRAND AV,242,BATTERY,1717960042000,"[-122.2807866, 37.8148324]",6047292,2124053,C,05X,CCD3,06/09/24  7:07:22 PM,1718041524000,5,1,1
2085978,LOP240609001005,29TH AV&NB I880,AV&NB I880,HAZ,HAZARDOUS SITUATION/,1717960053000,"[-122.2333483, 37.7751034]",6060725,2109332,C,20X,CCD5,06/09/24  7:07:33 PM,1717960053000,20,3,2
2085979,LOP240609001006,111 EMBARCADERO WEST,EMBARCADERO WEST,911C,911 HANG UP FROM CP,1717960073000,"[-122.2703129, 37.7926227]",6050164,2115910,C,01X,CCD3,06/09/24  7:07:53 PM,1717981295000,1,1,1
2085980,LOP240609001008,2231 E 23RD ST,E 23RD ST,911C,911 HANG UP FROM CP,1717960159000,"[-122.2309875, 37.7908141]",6061513,2115039,C,18Y,CCD2,06/09/24  7:09:19 PM,1717963604000,18,3,2
2085981,LOP240609001007,2529 E 27TH ST,E 27TH ST,415C,415 UNKNOWN,1717960155000,"[-122.2236916, 37.7920279]",6063629,2115442,C,21X,CCD5,06/09/24  7:09:15 PM,1718009707000,21,3,2
2085982,LOP240609001009,6TH AV&E 8TH ST,AV&E 8TH ST,976,CAR STOP,1717960201000,"[-122.2568304, 37.7923162]",6054057,2115725,C,19X,CCD2,06/09/24  7:10:01 PM,1717963724000,19,3,2
