OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
2033698,,,,,,,,,,,,,,,,,
2077130,LOP240602000994,78TH AV&ARTHUR ST,AV&ARTHUR ST,20002,HIT & RUN (PROPERTY,1717355089000,"[-122.1779027, 37.7611196]",6076656,2103949,C,30X,CCD6,06/02/24  7:04:49 PM,1717355458000,30,5,3
2077131,LOP240602000995,491 STATEN AV,STATEN AV,911C,911 HANG UP FROM CP,1717355176000,"[-122.2538795, 37.8079208]",6055016,2121390,C,14X,CCD3,06/02/24  7:06:16 PM,1717355179000,14,2,2
2077133,LOP240602000998,2930 LAKESHORE AV,LAKESHORE AV,911C,911 HANG UP FROM CP,1717355322000,"[-122.2479269, 37.8088936]",6056742,2121712,C,15X,CCD2,06/02/24  7:08:42 PM,1717355328000,15,3,2
2077134,LOP240602000997,600 98TH AV,98TH AV,BTNFO,BEAT INFORMATION,1717355320000,"[-122.1834686, 37.7358851]",6074882,2094791,C,31Y,CCD7,06/02/24  7:08:40 PM,1717363706000,31,5,3
2077135,LOP240602000999,600 MC CLARY AV,MC CLARY AV,HAZ,HAZARDOUS SITUATION/,1717355390000,"[-122.1927552, 37.7453]",6072259,2098267,C,31Y,CCD7,06/02/24  7:09:50 PM,1717355525000,31,5,3
2077136,LOP240602001000,2800 WEST ST,WEST ST,SECCK,SECURITY CHECK,1717355413000,"[-122.2739503, 37.818248]",6049290,2125259,C,06X,CCD3,06/02/24  7:10:13 PM,1717358436000,6,1,1
2077137,LOP240602001001,444 28TH ST,28TH ST,953,INVESTIGATE REPORT O,1717355455000,"[-122.2662191, 37.8166775]",6051512,2124645,C,08X,CCD3,06/02/24  7:10:55 PM,1717355455000,8,2,1
2077138,LOP240602001002,1831 73RD AV,73RD AV,243E,BATTERY ON CO-HABITA,1717355483000,"[-122.1835234, 37.761663]",6075035,2104176,C,30X,CCD6,06/02/24  7:11:23 PM,1717356462000,30,5,3
2077139,LOP240602001004,171 12TH ST,12TH ST,415TH,415 THREATS,1717355581000,"[-122.2654592, 37.8003042]",6051619,2118680,C,03X,CCD2,06/02/24  7:13:01 PM,1717356031000,3,1,1
2077140,LOP240602001005,1507 26TH AV,26TH AV,970B,AUTO BLOCKING DRIVEW,1717355615000,"[-122.2317162, 37.7824311]",6061246,2111991,P,20X,CCD5,06/02/24  7:13:35 PM,1717355616000,20,3,2
