OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
2033698,,,,,,,,,,,,,,,,,
2093104,,,,,,,,,,,,,,,,,
2125987,LOP240711001010,5815 MARTIN LUTHER KING JR WY,MARTIN LUTHER KING JR WY,MSDIAL,MISDIAL,1720724761000,"[-122.2706962, 37.8435373]",6050404,2134448,C,10Y,CCD1,07/11/24  7:06:01 PM,1720724762000,10,2,1
2125988,LOP240711001011,WB HARRISON ONRP ST&WB I580,HARRISON ONRP ST&WB I580,901,VEHICLE COLLISION/PR,1720724765000,"[-122.2568483, 37.8210146]",6054248,2126173,C,08X,CCD3,07/11/24  7:06:05 PM,1720724814000,8,2,1
2125989,LOP240711001014,GRAND AV&EB I580,AV&EB I580,901,VEHICLE COLLISION/PR,1720724871000,"[-122.2486426, 37.8103223]",6056545,2122236,C,14X,CCD2,07/11/24  7:07:51 PM,1720724871000,14,2,2
2125990,LOP240711001015,1444 1ST AVENUE PL,1ST AVENUE PL,911C,911 HANG UP FROM CP,1720724906000,"[-122.256568, 37.7987806]",6054177,2118077,C,19X,CCD2,07/11/24  7:08:26 PM,1720724906000,19,3,2
2125991,LOP240711001017,9202 INTERNATIONAL BLVD,INTERNATIONAL BLVD,911C,911 HANG UP FROM CP,1720724956000,"[-122.1735154, 37.7485166]",6077842,2099338,C,34X,CCD7,07/11/24  7:09:16 PM,1720724957000,34,5,3
2125992,LOP240711001019,4677 TOMPKINS AV,TOMPKINS AV,933R,ALARM-RINGER,1720724980000,"[-122.1856406, 37.7874223]",6074592,2113565,C,25X,CCD4,07/11/24  7:09:40 PM,1720761239000,25,4,2
2125993,LOP240711001018,1715 HIGH ST,HIGH ST,911C,911 HANG UP FROM CP,1720724979000,"[-122.2126789, 37.7740733]",6066691,2108847,C,23X,CCD5,07/11/24  7:09:39 PM,1720724979000,23,4,2
2125994,LOP240711001020,2761 PARKER AV,PARKER AV,933MA,ALARM-MANUALLY ACTIV,1720725100000,"[-122.1686942, 37.7655051]",6079346,2105498,C,30Y,CCD6,07/11/24  7:11:40 PM,1720755813000,30,5,3
2125995,LOP240711001021,448 BURLWOOD AV,BURLWOOD AV,945A,AMBULANCE REQUESTED,1720725122000,"[-122.1861721, 37.7350691]",6074095,2094508,C,31Y,CCD7,07/11/24  7:12:02 PM,1720725123000,31,5,3
2125996,LOP240711001022,744 52ND ST,52ND ST,911C,911 HANG UP FROM CP,1720725232000,"[-122.2677056, 37.8373716]",6051225,2132187,C,11X,CCD1,07/11/24  7:13:52 PM,1720725233000,11,2,1
