OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
2033698,,,,,,,,,,,,,,,,,
2079697,LOP240604001044,4000 E 12TH ST,E 12TH ST,R10851,RECOVERED STOLEN VEH,1717528008000,"[-122.2189099, 37.7728152]",6064882,2108422,C,23X,CCD5,06/04/24  7:06:48 PM,1717535711000,23,4,2
2079698,LOP240604001045,1428 35TH AV,35TH AV,415N,DISTURBANCE-NEIGHBOR,1717528016000,"[-122.2225998, 37.7767442]",6063842,2109872,C,23X,CCD5,06/04/24  7:06:56 PM,1717541037000,23,4,2
2079699,LOP240604001046,1547 LAKESIDE DR,LAKESIDE DR,415C,415 UNKNOWN,1717528274000,"[-122.2614069, 37.8035758]",6052812,2119849,C,04X,CCD2,06/04/24  7:11:14 PM,1717543471000,4,1,1
2079700,LOP240604001047,113 MOUNTAIN VALLEY,MOUNTAIN VALLEY,911H,911 HANG-UP,1717528420000,"[-122.1306092, 37.7686475]",6090373,2106448,C,35Y,CCD7,06/04/24  7:13:40 PM,1717528421000,35,5,3
2079701,LOP240604001048,7101 EDGEWATER DR,EDGEWATER DR,415C,415 UNKNOWN,1717528528000,"[-122.2094674, 37.7488054]",6067451,2099631,C,31X,CCD7,06/04/24  7:15:28 PM,1717528528000,31,5,3
2079702,LOP240604001050,800 77TH AV,77TH AV,R10851,RECOVERED STOLEN VEH,1717528612000,"[-122.1936851, 37.7514916]",6072031,2100526,C,26Y,CCD7,06/04/24  7:16:52 PM,1717532510000,26,4,3
2079703,LOP240604001049,4900 E 12TH ST,E 12TH ST,SECCK,SECURITY CHECK,1717528612000,"[-122.2112784, 37.7682567]",6067057,2106722,C,26X,CCD5,06/04/24  7:16:52 PM,1717529455000,26,4,3
2079704,LOP240604001051,5229 INTERNATIONAL BLVD,INTERNATIONAL BLVD,911N,POLICE RELATED MATTE,1717528725000,"[-122.2067007, 37.7684164]",6068381,2106756,C,26X,CCD5,06/04/24  7:18:45 PM,1717528726000,26,4,3
2079705,LOP240604001052,2651 73RD AV,73RD AV,415C,415 UNKNOWN,1717528778000,"[-122.1745692, 37.7676467]",6077662,2106308,C,30Y,CCD6,06/04/24  7:19:38 PM,1717552579000,30,5,3
2079706,LOP240604001055,85TH AV&HOLLY ST,AV&HOLLY ST,20001,HIT & RUN RESULTING,1717528913000,"[-122.1757613, 37.7543848]",6077231,2101486,C,34X,CCD6,06/04/24  7:21:53 PM,1717536371000,34,5,3
