OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
2033698,,,,,,,,,,,,,,,,,
2071273,LOP240528001040,1569 JACKSON ST,JACKSON ST,CCFILE,CHRONIC CALLER,1716923108000,"[-122.2643692, 37.8035315]",6051956,2119849,C,04X,CCD3,05/28/24  7:05:08 PM,1716925612000,4,1,1
2071274,LOP240528001044,10500 FOOTHILL BLVD,FOOTHILL BLVD,911C,911 HANG UP FROM CP,1716923214000,"[-122.1501511, 37.745072]",6084574,2097964,C,32Y,CCD7,05/28/24  7:06:54 PM,1716925221000,32,5,3
2071275,LOP240528001042,E 10TH ST&4TH AV,10TH ST&4TH AV,912,SUSPICIOUS PERSON,1716923186000,"[-122.257508, 37.7944733]",6053876,2116514,C,19X,CCD2,05/28/24  7:06:26 PM,1716929224000,19,3,2
2071276,LOP240528001045,954 61ST PL,61ST PL,905,ABANDONED AUTOMOBILE,1716923325000,"[-122.2774402, 37.8448395]",6048466,2134959,C,10X,CCD1,05/28/24  7:08:45 PM,1716929602000,10,2,1
2071277,LOP240528001046,3860 MARTIN LUTHER KING JR WY,MARTIN LUTHER KING JR WY,HAZ,HAZARDOUS SITUATION/,1716923333000,"[-122.2687207, 37.8283744]",6050870,2128917,C,06X,CCD1,05/28/24  7:08:53 PM,1716923333000,6,1,1
2071278,LOP240528001047,2000 AUSTIN ST,AUSTIN ST,SECCK,SECURITY CHECK,1716923412000,"[-122.2244637, 37.7842871]",6063354,2112628,C,21Y,CCD5,05/28/24  7:10:12 PM,1716924288000,21,3,2
2071280,LOP240528001048,ROBERTS AV&SEMINARY AV,AV&SEMINARY AV,SECCK,SECURITY CHECK,1716923553000,"[-122.1873165, 37.7737441]",6074018,2108594,C,29X,CCD6,05/28/24  7:12:33 PM,1716924836000,29,5,3
2071281,LOP240528001049,1238 18TH AV,18TH AV,975,STAND BY AND PRESERV,1716923597000,"[-122.2425345, 37.786543]",6058148,2113546,C,19X,CCD2,05/28/24  7:13:17 PM,1716924850000,19,3,2
2071282,LOP240528001050,1569 JACKSON ST,JACKSON ST,415C,415 UNKNOWN,1716923604000,"[-122.2643692, 37.8035315]",6051956,2119849,C,04X,CCD3,05/28/24  7:13:24 PM,1716927179000,4,1,1
2071284,LOP240528001053,7200 BANCROFT AV,BANCROFT AV,417,BRANDISH A WEAPON,1716923784000,"[-122.1776995, 37.7665254]",6076750,2105916,C,30Y,CCD6,05/28/24  7:16:24 PM,1716934994000,30,5,3
