OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
2033698,,,,,,,,,,,,,,,,,
2093104,,,,,,,,,,,,,,,,,
2104952,LOP240624001106,1000 POPLAR ST,POPLAR ST,R10851,RECOVERED STOLEN VEH,1719255821000,"[-122.2902701, 37.8073603]",6044501,2121385,C,02X,CCD3,06/24/24  7:03:41 PM,1719256008000,2,1,1
2104953,LOP240624001107,715 PERALTA ST,PERALTA ST,415F,415 FAMILY,1719255873000,"[-122.2981261, 37.8062382]",6042224,2121020,C,02Y,CCD3,06/24/24  7:04:33 PM,1719271393000,2,1,1
2104954,LOP240624001109,68TH AV&BANCROFT AV,AV&BANCROFT AV,215,CARJACKING,1719255964000,"[-122.1801655, 37.7686191]",6076051,2106691,C,30X,CCD6,06/24/24  7:06:04 PM,1719261578000,30,5,3
2104955,LOP240624001110,5142 BANCROFT AV,BANCROFT AV,970B,AUTO BLOCKING DRIVEW,1719255988000,"[-122.2049384, 37.771837]",6068913,2107992,P,27X,CCD4,06/24/24  7:06:28 PM,1719256004000,27,4,3
2104956,LOP240624001113,4300 EDGEWOOD AV,EDGEWOOD AV,SECCK,SECURITY CHECK,1719256088000,"[-122.2217324, 37.8076968]",6064300,2121136,C,16Y,CCD5,06/24/24  7:08:08 PM,1719258459000,16,3,2
2104957,LOP240624001112,40TH AV&SAN LEANDRO ST,AV&SAN LEANDRO ST,R10851,RECOVERED STOLEN VEH,1719256046000,"[-122.2196901, 37.7718397]",6064650,2108071,C,23X,CCD5,06/24/24  7:07:26 PM,1719259068000,23,4,2
2104958,LOP240624001114,1900 EMBARCADERO,EMBARCADERO,933R,ALARM-RINGER,1719256104000,"[-122.2428596, 37.781962]",6058023,2111880,C,19X,CCD5,06/24/24  7:08:24 PM,1719256449000,19,3,2
2104959,LOP240624001116,9640 BANCROFT AV,BANCROFT AV,415,DISTURBING THE PEACE,1719256160000,"[-122.1624841, 37.7496121]",6081038,2099680,C,35X,CCD7,06/24/24  7:09:20 PM,1719256748000,35,5,3
2104960,LOP240624001117,2112 FRUITVALE AV,FRUITVALE AV,911C,911 HANG UP FROM CP,1719256201000,"[-122.2224383, 37.7844046]",6063940,2112660,C,21Y,CCD5,06/24/24  7:10:01 PM,1719256201000,21,3,2
2104961,LOP240624001118,3634 FOOTHILL BLVD,FOOTHILL BLVD,245,ASSAULT W/DEADLY WEA,1719256240000,"[-122.2181651, 37.7804127]",6065148,2111184,C,24X,CCD5,06/24/24  7:10:40 PM,1719266357000,24,4,2
