OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
2033698,,,,,,,,,,,,,,,,,
2093104,,,,,,,,,,,,,,,,,
2094038,LOP240615001012,27TH AV&FOOTHILL BLVD,AV&FOOTHILL BLVD,23103,RECKLESS DRIVING,1718478237000,"[-122.2279228, 37.7845029]",6062356,2112725,P,20X,CCD5,06/15/24  7:03:57 PM,1718478322000,20,3,2
2094040,LOP240615001013,722 WASHINGTON ST,WASHINGTON ST,245,ASSAULT W/DEADLY WEA,1718478249000,"[-122.2752727, 37.8001376]",6048783,2118673,C,03Y,CCD3,06/15/24  7:04:09 PM,1718502314000,3,1,1
2094041,LOP240615001014,455 7TH ST,7TH ST,166,CONTEMPT OF COURT OR,1718478260000,"[-122.2743715, 37.7995112]",6049039,2118440,C,03Y,CCD3,06/15/24  7:04:20 PM,1718480275000,3,1,1
2094042,LOP240615001015,1143 E 12TH ST,E 12TH ST,929,FIRE,1718478264000,"[-122.2495179, 37.7903154]",6056156,2114957,C,19X,CCD2,06/15/24  7:04:24 PM,1718478266000,19,3,2
2094043,LOP240615001016,6311 FOOTHILL BLVD,FOOTHILL BLVD,911C,911 HANG UP FROM CP,1718478291000,"[-122.1853713, 37.7708246]",6074561,2107521,P,29X,CCD6,06/15/24  7:04:51 PM,1718478291000,29,5,3
2094044,LOP240615001017,1 AIRPORT DR,AIRPORT DR,901B,VEHICLE COLLISION-UN,1718478408000,"[-122.2102693, 37.7166148]",6067005,2087916,C,31X,CCD7,06/15/24  7:06:48 PM,1718478523000,31,5,3
2094045,LOP240615001018,2300 INTERNATIONAL BLVD,INTERNATIONAL BLVD,SECCK,SECURITY CHECK,1718478452000,"[-122.235879, 37.7834412]",6060050,2112381,C,20X,CCD5,06/15/24  7:07:32 PM,1718482700000,20,3,2
2094046,LOP240615001019,2701 64TH AV,64TH AV,ASSIST,ASSIST,1718478503000,"[-122.1852432, 37.770365]",6074595,2107353,C,29X,CCD6,06/15/24  7:08:23 PM,1718478503000,29,5,3
2094047,LOP240615001020,E 12TH ST&49TH AV,12TH ST&49TH AV,SECCK,SECURITY CHECK,1718478507000,"[-122.2113506, 37.7682364]",6067036,2106715,C,26X,CCD5,06/15/24  7:08:27 PM,1718479662000,26,4,3
2094048,LOP240615001021,9520 CORAL RD,CORAL RD,ASSIST,ASSIST,1718478670000,"[-122.1912537, 37.7337382]",6072617,2094050,C,31Y,CCD7,06/15/24  7:11:10 PM,1718478670000,31,5,3
