OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
2033698,,,,,,,,,,,,,,,,,
2093104,,,,,,,,,,,,,,,,,
2124822,LOP240710001017,7101 EDGEWATER DR,EDGEWATER DR,911C,911 HANG UP FROM CP,1720638419000,"[-122.2094674, 37.7488054]",6067451,2099631,C,31X,CCD7,07/10/24  7:06:59 PM,1720638419000,31,5,3
2124823,LOP240710001018,11889 SKYLINE BLVD,SKYLINE BLVD,911H,911 HANG-UP,1720638485000,"[-122.1709588, 37.7989617]",6078909,2117690,C,22Y,CCD4,07/10/24  7:08:05 PM,1720640975000,22,3,2
2124824,LOP240710001019,5235 BANCROFT AV,BANCROFT AV,911C,911 HANG UP FROM CP,1720638492000,"[-122.2041261, 37.7717251]",6069147,2107947,C,27Y,CCD4,07/10/24  7:08:12 PM,1720667204000,27,4,3
2124825,LOP240710001020,E 12TH ST&54TH AV,12TH ST&54TH AV,SECCK,SECURITY CHECK,1720638568000,"[-122.207848, 37.7656393]",6068031,2105751,C,26X,CCD5,07/10/24  7:09:28 PM,1720641774000,26,4,3
2124826,LOP240710001021,1536 FRUITVALE AV,FRUITVALE AV,945A,AMBULANCE REQUESTED,1720638619000,"[-122.2250186, 37.7794172]",6063161,2110858,C,23X,CCD5,07/10/24  7:10:19 PM,1720638619000,23,4,2
2124827,LOP240710001022,9404 EMPIRE RD,EMPIRE RD,955F,INJURIED ANIMAL,1720638657000,"[-122.1950228, 37.7343104]",6071531,2094278,C,31Y,CCD7,07/10/24  7:10:57 PM,1720710361000,31,5,3
2124828,LOP240710001023,1911 98TH AV,98TH AV,602L,TRESPASS:,1720638766000,"[-122.165003, 37.7470138]",6080293,2098747,C,34X,CCD7,07/10/24  7:12:46 PM,1720646602000,34,5,3
2124829,LOP240710001024,1901 3RD AV,3RD AV,945A,AMBULANCE REQUESTED,1720638889000,"[-122.2504882, 37.8002032]",6055943,2118562,C,15X,CCD2,07/10/24  7:14:49 PM,1720638889000,15,3,2
2124830,LOP240710001026,7916 NEY AV,NEY AV,911N,POLICE RELATED MATTE,1720638976000,"[-122.1656005, 37.7657961]",6080242,2105588,C,30Y,CCD6,07/10/24  7:16:16 PM,1720638977000,30,5,3
2124831,LOP240710001025,744 52ND ST,52ND ST,911N,POLICE RELATED MATTE,1720638965000,"[-122.2677056, 37.8373716]",6051225,2132187,C,11X,CCD1,07/10/24  7:16:05 PM,1720638965000,11,2,1
