OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
2033698,,,,,,,,,,,,,,,,,
2093104,,,,,,,,,,,,,,,,,
2095165,LOP240616000870,238 FOOTHILL BLVD,FOOTHILL BLVD,10851,STOLEN VEHICLE,1718564844000,"[-122.2541158, 37.7990176]",6054887,2118150,C,15X,CCD2,06/16/24  7:07:24 PM,1718567323000,15,3,2
2095166,LOP240616000873,30TH ST&BROADWAY,ST&BROADWAY,23103,RECKLESS DRIVING,1718565123000,"[-122.262283, 37.8186069]",6052662,2125326,C,08X,CCD3,06/16/24  7:12:03 PM,1718565123000,8,2,1
2095167,LOP240616000874,500 HIGH ST,HIGH ST,WELCK,WELFARE CHECK -- CHE,1718565178000,"[-122.2220215, 37.7668779]",6063943,2106277,C,26X,CCD5,06/16/24  7:12:58 PM,1718566320000,26,4,3
2095168,LOP240616000876,3623 MACARTHUR BLVD,MACARTHUR BLVD,415LT,DISTURBANCE-LANDLORD,1718565208000,"[-122.1999142, 37.7928648]",6070504,2115621,C,25X,CCD4,06/16/24  7:13:28 PM,1718594578000,25,4,2
2095170,LOP240616000872,1925 MARTIN LUTHER KING JR WY,MARTIN LUTHER KING JR WY,5150,MENTALLY ILL,1718564991000,"[-122.2738644, 37.809726]",6049256,2122156,C,04X,CCD3,06/16/24  7:09:51 PM,1718607206000,4,1,1
2095185,LOP240616000875,1053 LINDEN ST,LINDEN ST,415BF,415 BOYFRIEND,1718565194000,"[-122.2849746, 37.8065588]",6046025,2121064,C,02X,CCD3,06/16/24  7:13:14 PM,1718583061000,2,1,1
2095186,LOP240616000878,9TH AV&CLINTON,AV&CLINTON,946,TOW REQUESTED,1718565404000,"[-122.2495469, 37.7872852]",6056127,2113854,C,19X,,06/16/24  7:16:44 PM,1718567520000,19,3,2
2095187,LOP240616000879,255 9TH AV,9TH AV,933R,ALARM-RINGER,1718565408000,"[-122.2559744, 37.7884642]",6054278,2114318,C,19X,CCD2,06/16/24  7:16:48 PM,1718566135000,19,3,2
2095188,LOP240616000880,4800 FOOTHILL BLVD,FOOTHILL BLVD,243E,BATTERY ON CO-HABITA,1718565539000,"[-122.2076137, 37.7727569]",6068146,2108341,C,27X,CCD4,06/16/24  7:18:59 PM,1718572228000,27,4,3
2095189,LOP240616000881,275 W MACARTHUR BLVD,W MACARTHUR BLVD,911H,911 HANG-UP,1718565625000,"[-122.25802, 37.8241422]",6053931,2127318,C,09X,CCD3,06/16/24  7:20:25 PM,1718565713000,9,2,1
