OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
2033698,,,,,,,,,,,,,,,,,
2093104,,,,,,,,,,,,,,,,,
2112204,LOP240630001044,6350 PINEHAVEN RD,PINEHAVEN RD,945A,AMBULANCE REQUESTED,1719774332000,"[-122.2089591, 37.8423655]",6068220,2133690,C,13Y,CCD4,06/30/24  7:05:32 PM,1719774333000,13,2,1
2112205,LOP240630001047,918 CLAY ST,CLAY ST,459,BURGLARY,1719774380000,"[-122.2756069, 37.8019537]",6048699,2119336,C,03Y,CCD3,06/30/24  7:06:20 PM,1719774573000,3,1,1
2112206,LOP240630001046,3327 DAVIS ST,DAVIS ST,243E,BATTERY ON CO-HABITA,1719774379000,"[-122.2169171, 37.7885532]",6065563,2114141,C,21Y,CCD5,06/30/24  7:06:19 PM,1719777320000,21,3,2
2112207,LOP240630001048,1 AIRPORT DR,AIRPORT DR,FUEL,FUEL VEHICLE,1719774499000,"[-122.2102693, 37.7166148]",6067005,2087916,C,31X,CCD7,06/30/24  7:08:19 PM,1719782109000,31,5,3
2112208,LOP240630001049,4230 CARRINGTON ST,CARRINGTON ST,243E,BATTERY ON CO-HABITA,1719774568000,"[-122.2102405, 37.7772812]",6067417,2110002,C,24X,CCD5,06/30/24  7:09:28 PM,1719784298000,24,4,2
2112209,LOP240630001050,1505 89TH AV,89TH AV,415TH,415 THREATS,1719774586000,"[-122.1732846, 37.7511732]",6077926,2100304,P,34X,CCD7,06/30/24  7:09:46 PM,1719774586000,34,5,3
2112210,LOP240630001051,831 35TH ST,35TH ST,415F,415 FAMILY,1719774605000,"[-122.2732796, 37.8249603]",6049530,2127699,C,06X,CCD3,06/30/24  7:10:05 PM,1719792372000,6,1,1
2112211,LOP240630001053,705 BROADWAY,BROADWAY,MP,MISSING PERSON,1719774716000,"[-122.2742452, 37.7995845]",6049076,2118466,C,03Y,CCD3,06/30/24  7:11:56 PM,1719774719000,3,1,1
2112212,LOP240630001052,2250 96TH AV,96TH AV,911H,911 HANG-UP,1719774715000,"[-122.1623034, 37.7500404]",6081093,2099835,C,35X,CCD7,06/30/24  7:11:55 PM,1719783247000,35,5,3
2112213,LOP240630001054,270 VAN BUREN AV,VAN BUREN AV,911C,911 HANG UP FROM CP,1719774742000,"[-122.2567593, 37.8109653]",6054205,2122514,C,14X,CCD3,06/30/24  7:12:22 PM,1719789446000,14,2,2
