OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
2033698,,,,,,,,,,,,,,,,,
2067644,LOP240525000917,830 30TH ST,30TH ST,901A,VEHICLE COLLISION-PE,1716663853000,"[-122.2744624, 37.8202592]",6049156,2125994,C,06X,CCD3,05/25/24  7:04:13 PM,1716664020000,6,1,1
2067645,LOP240525000918,576 VALLE VISTA AV,VALLE VISTA AV,415,DISTURBING THE PEACE,1716663969000,"[-122.2467515, 37.8158824]",6057129,2124250,C,14Y,CCD2,05/25/24  7:06:09 PM,1716681103000,14,2,2
2067646,LOP240525000919,830 30TH ST,30TH ST,INFO,BEAT INFORMATION,1716664003000,"[-122.2744624, 37.8202592]",6049156,2125994,C,06X,CCD3,05/25/24  7:06:43 PM,1716671076000,6,1,1
2067647,LOP240525000920,3501 SAN PABLO AV,SAN PABLO AV,911C,911 HANG UP FROM CP,1716664074000,"[-122.2782688, 37.8257917]",6048095,2128029,C,07X,CCD3,05/25/24  7:07:54 PM,1716671224000,7,1,1
2067648,LOP240525000921,1515 LAKESIDE DR,LAKESIDE DR,945A,AMBULANCE REQUESTED,1716664081000,"[-122.2617138, 37.8030878]",6052720,2119673,C,04X,CCD2,05/25/24  7:08:01 PM,1716664093000,4,1,1
2067649,LOP240525000922,8304 B ST,B ST,911C,911 HANG UP FROM CP,1716664132000,"[-122.1815918, 37.753214]",6075538,2101090,C,33X,CCD7,05/25/24  7:08:52 PM,1716664132000,33,5,3
2067650,LOP240525000923,62ND AV&HARMON AV,AV&HARMON AV,415FC,415 FIRE CRACKERS,1716664133000,"[-122.1934625, 37.7666187]",6072195,2106032,C,27Y,CCD6,05/25/24  7:08:53 PM,1716671695000,27,4,3
2067651,LOP240525000924,7101 EDGEWATER DR,EDGEWATER DR,911C,911 HANG UP FROM CP,1716664179000,"[-122.2094674, 37.7488054]",6067451,2099631,C,31X,CCD7,05/25/24  7:09:39 PM,1716664188000,31,5,3
2067652,LOP240525000926,744 52ND ST,52ND ST,911C,911 HANG UP FROM CP,1716664228000,"[-122.2677056, 37.8373716]",6051225,2132187,C,11X,CCD1,05/25/24  7:10:28 PM,1716664228000,11,2,1
2067653,LOP240525000925,1717 EMBARCADERO,EMBARCADERO,HAZ,HAZARDOUS SITUATION/,1716664227000,"[-122.2446337, 37.7851468]",6057532,2113049,C,19X,CCD2,05/25/24  7:10:27 PM,1716664230000,19,3,2
