OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
2033698,,,,,,,,,,,,,,,,,
2093104,,,,,,,,,,,,,,,,,
2122446,LOP240708000988,364 STATEN AV,STATEN AV,484,THEFT,1720465489000,"[-122.2539156, 37.8110598]",6055027,2122533,C,14X,CCD3,07/08/24  7:04:49 PM,1720465490000,14,2,2
2122447,LOP240708000989,6450 CAMDEN ST,CAMDEN ST,911C,911 HANG UP FROM CP,1720465509000,"[-122.1815692, 37.7717798]",6075666,2107849,C,29X,CCD6,07/08/24  7:05:09 PM,1720465509000,29,5,3
2122448,LOP240708000990,7700 BANCROFT AV,BANCROFT AV,SECCK,SECURITY CHECK,1720465555000,"[-122.1743183, 37.7640382]",6077711,2104993,C,30Y,CCD6,07/08/24  7:05:55 PM,1720467379000,30,5,3
2122449,LOP240708000991,2227 SAN PABLO AV,SAN PABLO AV,911C,911 HANG UP FROM CP,1720465619000,"[-122.2740864, 37.8127853]",6049213,2123271,C,07X,CCD3,07/08/24  7:06:59 PM,1720465815000,7,1,1
2122450,LOP240708000992,7101 EDGEWATER DR,EDGEWATER DR,911C,911 HANG UP FROM CP,1720465624000,"[-122.2094674, 37.7488054]",6067451,2099631,C,31X,CCD7,07/08/24  7:07:04 PM,1720465634000,31,5,3
2122451,LOP240708000994,9022 BANCROFT AV,BANCROFT AV,242,BATTERY,1720465692000,"[-122.1654682, 37.7535693]",6080201,2101136,C,35X,CCD7,07/08/24  7:08:12 PM,1720485780000,35,5,3
2122452,LOP240708000993,1630 HIGH ST,HIGH ST,10851,STOLEN VEHICLE,1720465654000,"[-122.2133015, 37.7734572]",6066507,2108626,C,27X,CCD5,07/08/24  7:07:34 PM,1720545664000,27,4,3
2122453,LOP240708000995,2227 SAN PABLO AV,SAN PABLO AV,911C,911 HANG UP FROM CP,1720465717000,"[-122.2740864, 37.8127853]",6049213,2123271,C,07X,CCD3,07/08/24  7:08:37 PM,1720465720000,7,1,1
2122454,LOP240708000996,9790 MACARTHUR BLVD,MACARTHUR BLVD,911C,911 HANG UP FROM CP,1720465856000,"[-122.1588248, 37.7499521]",6082098,2099785,C,35X,CCD7,07/08/24  7:10:56 PM,1720465856000,35,5,3
2122455,LOP240708000998,1548 HIGH ST,HIGH ST,911C,911 HANG UP FROM CP,1720465891000,"[-122.2138287, 37.7730595]",6066352,2108484,C,27X,CCD5,07/08/24  7:11:31 PM,1720481696000,27,4,3
