OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
2033698,,,,,,,,,,,,,,,,,
2089040,LOP240611001176,2400 MANZANITA DR,MANZANITA DR,415C,415 UNKNOWN,1718132679000,"[-122.1853448, 37.8373737]",6075005,2131749,C,13Z,,06/11/24  7:04:39 PM,1718132984000,13,2,1
2089041,LOP240611001177,8411 MACARTHUR BLVD,MACARTHUR BLVD,911N,POLICE RELATED MATTE,1718132717000,"[-122.1637444, 37.7612517]",6080749,2103924,C,35X,CCD7,06/11/24  7:05:17 PM,1718132717000,35,5,3
2089042,LOP240611001179,1430 8TH AV,8TH AV,5150,MENTALLY ILL,1718132768000,"[-122.2507178, 37.7939371]",6055834,2116282,C,19X,CCD2,06/11/24  7:06:08 PM,1718134182000,19,3,2
2089043,LOP240611001180,2000 35TH AV,35TH AV,SECCK,SECURITY CHECK,1718132801000,"[-122.2177467, 37.7834183]",6065289,2112276,C,24X,CCD5,06/11/24  7:06:41 PM,1718153532000,24,4,2
2089044,LOP240611001178,7120 HAWLEY ST,HAWLEY ST,415BF,415 BOYFRIEND,1718132731000,"[-122.1953401, 37.7554946]",6071579,2101992,C,26Y,CCD7,06/11/24  7:05:31 PM,1718150379000,26,4,3
2089045,LOP240611001181,7326 INTERNATIONAL BLVD,INTERNATIONAL BLVD,933R,ALARM-RINGER,1718132921000,"[-122.1867906, 37.7591195]",6074074,2103267,C,30X,CCD7,06/11/24  7:08:41 PM,1718185923000,30,5,3
2089046,LOP240611001182,CHABOT RD&COLLEGE AV,RD&COLLEGE AV,SECCK,SECURITY CHECK,1718132955000,"[-122.2520557, 37.8471172]",6055810,2135650,C,12Y,CCD1,06/11/24  7:09:15 PM,1718134261000,12,2,1
2089047,LOP240611001183,1555 MADISON ST,MADISON ST,646_9,STALKING,1718132993000,"[-122.2632684, 37.8029519]",6052270,2119632,C,04X,CCD3,06/11/24  7:09:53 PM,1718156544000,4,1,1
2089048,LOP240611001184,55TH AV&INTERNATIONAL BLVD,AV&INTERNATIONAL BLVD,SECCK,SECURITY CHECK,1718133153000,"[-122.2037151, 37.7670835]",6069235,2106255,C,27Y,CCD5,06/11/24  7:12:33 PM,1718134216000,27,4,3
2089049,LOP240611001187,98TH AV&BIGGE AV,AV&BIGGE AV,901A,VEHICLE COLLISION-PE,1718133288000,"[-122.1939997, 37.7294824]",6071795,2092515,C,31Y,CCD7,06/11/24  7:14:48 PM,1718142314000,31,5,3
