OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
2033698,,,,,,,,,,,,,,,,,
2093104,,,,,,,,,,,,,,,,,
2128398,LOP240713000923,8118 BANCROFT AV,BANCROFT AV,911C,911 HANG UP FROM CP,1720897446000,"[-122.1707793, 37.7606797]",6078712,2103752,C,30Y,CCD6,07/13/24  7:04:06 PM,1720897446000,30,5,3
2128399,LOP240713000924,WB I580 CONN&WB I80,I580 CONN&WB I80,HAZ,HAZARDOUS SITUATION/,1720897446000,"[-122.3094785, 37.8250039]",6039077,2127915,C,07X,CCD3,07/13/24  7:04:06 PM,1720897446000,7,1,1
2128400,LOP240713000925,8411 MACARTHUR BLVD,MACARTHUR BLVD,911C,911 HANG UP FROM CP,1720897514000,"[-122.1637444, 37.7612517]",6080749,2103924,C,35X,CCD7,07/13/24  7:05:14 PM,1720897514000,35,5,3
2128401,LOP240713000926,GALINDO ST&HARRINGTON AV,ST&HARRINGTON AV,459AU,AUTO BURGLARY,1720897591000,"[-122.214393, 37.7828161]",6066254,2112039,C,24X,CCD5,07/13/24  7:06:31 PM,1720897923000,24,4,2
2128402,LOP240713000928,3401 INTERNATIONAL BLVD,INTERNATIONAL BLVD,911C,911 HANG UP FROM CP,1720897668000,"[-122.2238629, 37.7765939]",6063476,2109824,C,23X,CCD5,07/13/24  7:07:48 PM,1720897694000,23,4,2
2128403,LOP240713000929,HILLER DR&STARVIEW DR,DR&STARVIEW DR,459AU,AUTO BURGLARY,1720897748000,"[-122.2282196, 37.8528798]",6062730,2137620,C,13Y,CCD1,07/13/24  7:09:08 PM,1720897923000,13,2,1
2128404,LOP240713000930,728 39TH ST,39TH ST,929,FIRE,1720897855000,"[-122.2699685, 37.8292923]",6050516,2129258,C,06X,CCD1,07/13/24  7:10:55 PM,1720897855000,6,1,1
2128405,LOP240713000931,49TH ST&TELEGRAPH AV,ST&TELEGRAPH AV,SECCK,SECURITY CHECK,1720897873000,"[-122.2627036, 37.8357352]",6052658,2131564,C,12X,CCD1,07/13/24  7:11:13 PM,1720902031000,12,2,1
2128406,LOP240713000932,7969 STERLING DR,STERLING DR,912,SUSPICIOUS PERSON,1720897919000,"[-122.1583224, 37.7683626]",6082362,2106485,C,30Y,CCD6,07/13/24  7:11:59 PM,1720900230000,30,5,3
2128407,LOP240713000934,898 53RD ST,53RD ST,11550,USE OF/UNDER INFLUEN,1720897981000,"[-122.2735347, 37.8375176]",6049543,2132272,C,10Y,CCD1,07/13/24  7:13:01 PM,1720898648000,10,2,1
