OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
2033698,,,,,,,,,,,,,,,,,
2087491,LOP240610001053,7127 FAVOR ST,FAVOR ST,10851,STOLEN VEHICLE,1718046233000,"[-122.1844271, 37.76215]",6074777,2104358,P,30X,CCD6,06/10/24  7:03:53 PM,1718104918000,30,5,3
2087492,LOP240610001054,251 28TH ST,28TH ST,945A,AMBULANCE REQUESTED,1718046255000,"[-122.2622221, 37.8160423]",6052662,2124392,C,08X,CCD3,06/10/24  7:04:15 PM,1718046255000,8,2,1
2087493,LOP240610001055,4100 LYON AV,LYON AV,242,BATTERY,1718046270000,"[-122.2068654, 37.7825106]",6068427,2111888,C,24X,CCD4,06/10/24  7:04:30 PM,1718072592000,24,4,2
2087494,LOP240610001056,1219 EXCELSIOR AV,EXCELSIOR AV,911C,911 HANG UP FROM CP,1718046322000,"[-122.231413, 37.8043138]",6061481,2119956,C,16Y,CCD5,06/10/24  7:05:22 PM,1718049093000,16,3,2
2087495,LOP240610001057,4500 E 12TH ST,E 12TH ST,SECCK,SECURITY CHECK,1718046344000,"[-122.2140444, 37.7705622]",6066273,2107576,C,26X,CCD5,06/10/24  7:05:44 PM,1718048185000,26,4,3
2087496,LOP240610001058,3713 MAYBELLE AV,MAYBELLE AV,SMOKE,SMOKE,1718046369000,"[-122.1941853, 37.789511]",6072137,2114370,C,25X,CCD4,06/10/24  7:06:09 PM,1718046369000,25,4,2
2087497,LOP240610001059,768 41ST ST,41ST ST,415F,415 FAMILY,1718046496000,"[-122.2702612, 37.8309662]",6050443,2129869,C,10Y,CCD1,06/10/24  7:08:16 PM,1718046641000,10,2,1
2087498,LOP240610001060,3114 MAGNOLIA ST,MAGNOLIA ST,INFO,BEAT INFORMATION,1718046591000,"[-122.2822941, 37.8232533]",6046915,2127127,C,07X,CCD3,06/10/24  7:09:51 PM,1718046593000,7,1,1
2087499,LOP240610001061,2837 62ND AV,62ND AV,R10851,RECOVERED STOLEN VEH,1718046601000,"[-122.1863188, 37.7714099]",6074291,2107739,C,29X,CCD6,06/10/24  7:10:01 PM,1718049771000,29,5,3
2087500,LOP240610001062,1200 BROADWAY,BROADWAY,484LP,STOLEN LICENSE PLATE,1718046609000,"[-122.271982, 37.8029531]",6049753,2119680,C,03X,CCD3,06/10/24  7:10:09 PM,1718047490000,3,1,1
