OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
2033698,,,,,,,,,,,,,,,,,
2093104,,,,,,,,,,,,,,,,,
2123548,LOP240709000992,8118 BANCROFT AV,BANCROFT AV,911C,911 HANG UP FROM CP,1720551857000,"[-122.1707793, 37.7606797]",6078712,2103752,C,30Y,CCD6,07/09/24  7:04:17 PM,1720559479000,30,5,3
2123549,LOP240709000994,255 MACARTHUR BLVD,MACARTHUR BLVD,SECCK,SECURITY CHECK,1720551975000,"[-122.2522958, 37.8159238]",6055528,2124295,C,14X,CCD3,07/09/24  7:06:15 PM,1720554190000,14,2,2
2123550,LOP240709000993,10151 INTERNATIONAL BLVD,INTERNATIONAL BLVD,R10851,RECOVERED STOLEN VEH,1720551942000,"[-122.1686804, 37.7417868]",6079196,2096863,C,32X,CCD7,07/09/24  7:05:42 PM,1720592810000,32,5,3
2123551,LOP240709000997,300 FRANK H OGAWA PLZ,FRANK H OGAWA PLZ,933R,ALARM-RINGER,1720552058000,"[-122.2715308, 37.8053689]",6049900,2120557,C,04X,CCD3,07/09/24  7:07:38 PM,1720556288000,4,1,1
2123552,LOP240709000999,7101 EDGEWATER DR,EDGEWATER DR,911C,911 HANG UP FROM CP,1720552089000,"[-122.2094674, 37.7488054]",6067451,2099631,C,31X,CCD7,07/09/24  7:08:09 PM,1720552099000,31,5,3
2123553,LOP240709000995,5701 FOOTHILL BLVD,FOOTHILL BLVD,594,VANDALISM,1720552019000,"[-122.1936295, 37.7721208]",6072183,2108036,C,29X,CCD6,07/09/24  7:06:59 PM,1720552019000,29,5,3
2123554,LOP240709000996,2531 INYO AV,INYO AV,415,DISTURBING THE PEACE,1720552049000,"[-122.2275748, 37.7914135]",6062503,2115239,P,21X,CCD5,07/09/24  7:07:29 PM,1720552050000,21,3,2
2123569,LOP240709000998,1245 58TH AV,58TH AV,911N,POLICE RELATED MATTE,1720552081000,"[-122.2026024, 37.7639764]",6069536,2105118,C,26Y,CCD5,07/09/24  7:08:01 PM,1720552081000,26,4,3
2123570,LOP240709001000,9843 LYNDHURST ST,LYNDHURST ST,AOA,ASSIST OUTSIDE AGENC,1720552224000,"[-122.1826211, 37.7355731]",6075125,2094673,C,31Y,CCD7,07/09/24  7:10:24 PM,1720578488000,31,5,3
2123571,LOP240709001002,1243 58TH AV,58TH AV,911C,911 HANG UP FROM CP,1720552276000,"[-122.2026364, 37.7639512]",6069526,2105109,C,26Y,CCD5,07/09/24  7:11:16 PM,1720566528000,26,4,3
