OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
2033698,,,,,,,,,,,,,,,,,
2060178,LOP240519000909,1335 92ND AV,92ND AV,MJ,MISSING JUVENILE,1716145539000,"[-122.1747571, 37.7480512]",6077480,2099175,C,33X,CCD7,05/19/24  7:05:39 PM,1716150439000,33,5,3
2060179,LOP240519000910,49TH ST&CLARKE ST,ST&CLARKE ST,459AU,AUTO BURGLARY,1716145587000,"[-122.2612351, 37.8357379]",6053082,2131557,C,12X,CCD1,05/19/24  7:06:27 PM,1716145590000,12,2,1
2060180,LOP240519000911,24TH ST&SAN PABLO AV,ST&SAN PABLO AV,945A,AMBULANCE REQUESTED,1716145669000,"[-122.2746052, 37.8146453]",6049076,2123951,C,07X,CCD3,05/19/24  7:07:49 PM,1716145669000,7,1,1
2060181,LOP240519000912,333 GRAND AV,GRAND AV,970,AUTO IMPROPERLY PARK,1716145731000,"[-122.2565488, 37.8089441]",6054252,2121777,C,14X,CCD3,05/19/24  7:08:51 PM,1716174802000,14,2,2
2060182,LOP240519000913,3503 INTERNATIONAL BLVD,INTERNATIONAL BLVD,911C,911 HANG UP FROM CP,1716145765000,"[-122.2227012, 37.7760423]",6063808,2109617,C,23X,CCD5,05/19/24  7:09:25 PM,1716171984000,23,4,2
2060183,LOP240519000914,1100 INTERNATIONAL BLVD,INTERNATIONAL BLVD,10851,STOLEN VEHICLE,1716145780000,"[-122.2488018, 37.7913615]",6056370,2115334,C,19X,CCD2,05/19/24  7:09:40 PM,1716149195000,19,3,2
2060184,LOP240519000916,2331 E 16TH ST,E 16TH ST,10851,STOLEN VEHICLE,1716145808000,"[-122.2337744, 37.7846121]",6060666,2112796,C,20X,CCD5,05/19/24  7:10:08 PM,1716145809000,20,3,2
2060185,LOP240519000917,285 HEGENBERGER RD,HEGENBERGER RD,459AU,AUTO BURGLARY,1716145820000,"[-122.1984661, 37.7331868]",6070528,2093887,C,31X,CCD7,05/19/24  7:10:20 PM,1716149001000,31,5,3
2060186,LOP240519000918,4500 GILBERT ST,GILBERT ST,945A,AMBULANCE REQUESTED,1716145829000,"[-122.2509256, 37.8329907]",6056040,2130501,C,09X,CCD1,05/19/24  7:10:29 PM,1716145833000,9,2,1
2060187,LOP240519000915,3142 BROOKDALE AV,BROOKDALE AV,911C,911 HANG UP FROM CP,1716145794000,"[-122.2141196, 37.7915165]",6066391,2115205,C,21Y,CCD5,05/19/24  7:09:54 PM,1716145811000,21,3,2
